home_data_point,away_data_point,comparison_name,mathematical_comparison
home.games_played,away.games_played,games_played_vs_games_played,home.games_played - away.games_played
home.offense_drives,away.defense_drives,offense_drives_vs_defense_drives,home.offense_drives - away.defense_drives
home.offense_explosiveness,away.defense_explosiveness,offense_explosiveness_vs_defense_explosiveness,home.offense_explosiveness + away.defense_explosiveness
home.offense_plays,away.defense_plays,offense_plays_vs_defense_plays,home.offense_plays - away.defense_plays
home.offense_power_success,away.defense_power_success,offense_power_success_vs_defense_power_success,home.offense_power_success + away.defense_power_success
home.offense_ppa,away.defense_ppa,offense_ppa_vs_defense_ppa,home.offense_ppa + away.defense_ppa
home.offense_stuff_rate,away.defense_stuff_rate,offense_stuff_rate_vs_defense_stuff_rate,-home.offense_stuff_rate - away.defense_stuff_rate
home.offense_success_rate,away.defense_success_rate,offense_success_rate_vs_defense_success_rate,home.offense_success_rate + away.defense_success_rate
home.offense_passing_downs_explosiveness,away.defense_passing_downs_explosiveness,offense_passing_downs_explosiveness_vs_defense_passing_downs_explosiveness,home.offense_passing_downs_explosiveness + away.defense_passing_downs_explosiveness
home.offense_passing_downs_ppa,away.defense_passing_downs_ppa,offense_passing_downs_ppa_vs_defense_passing_downs_ppa,home.offense_passing_downs_ppa + away.defense_passing_downs_ppa
home.offense_passing_downs_success_rate,away.defense_passing_downs_success_rate,offense_passing_downs_success_rate_vs_defense_passing_downs_success_rate,home.offense_passing_downs_success_rate + away.defense_passing_downs_success_rate
home.offense_passing_plays_explosiveness,away.defense_passing_plays_explosiveness,offense_passing_plays_explosiveness_vs_defense_passing_plays_explosiveness,home.offense_passing_plays_explosiveness + away.defense_passing_plays_explosiveness
home.offense_passing_plays_ppa,away.defense_passing_plays_ppa,offense_passing_plays_ppa_vs_defense_passing_plays_ppa,home.offense_passing_plays_ppa + away.defense_passing_plays_ppa
home.offense_passing_plays_success_rate,away.defense_passing_plays_success_rate,offense_passing_plays_success_rate_vs_defense_passing_plays_success_rate,home.offense_passing_plays_success_rate + away.defense_passing_plays_success_rate
home.offense_rushing_plays_explosiveness,away.defense_rushing_plays_explosiveness,offense_rushing_plays_explosiveness_vs_defense_rushing_plays_explosiveness,home.offense_rushing_plays_explosiveness + away.defense_rushing_plays_explosiveness
home.offense_rushing_plays_ppa,away.defense_rushing_plays_ppa,offense_rushing_plays_ppa_vs_defense_rushing_plays_ppa,home.offense_rushing_plays_ppa + away.defense_rushing_plays_ppa
home.offense_rushing_plays_success_rate,away.defense_rushing_plays_success_rate,offense_rushing_plays_success_rate_vs_defense_rushing_plays_success_rate,home.offense_rushing_plays_success_rate + away.defense_rushing_plays_success_rate
home.offense_standard_downs_explosiveness,away.defense_standard_downs_explosiveness,offense_standard_downs_explosiveness_vs_defense_standard_downs_explosiveness,home.offense_standard_downs_explosiveness + away.defense_standard_downs_explosiveness
home.offense_db_havoc_rate,away.defense_db_havoc_rate,offense_db_havoc_rate_vs_defense_db_havoc_rate,-home.offense_db_havoc_rate - away.defense_db_havoc_rate
home.offense_front_seven_havoc_rate,away.defense_front_seven_havoc_rate,offense_front_seven_havoc_rate_vs_defense_front_seven_havoc_rate,-home.offense_front_seven_havoc_rate - away.defense_front_seven_havoc_rate
