poll_objective,keys_team,ballot_model,power_rating_vs_average,ballot_rank,poll_points,top25_vote,first_place_vote
margin,Georgia,scientific_f0_m1,18.70809858680334,1,25,True,True
margin,Texas,scientific_f0_m1,17.855628065455026,2,24,True,False
margin,Oregon,scientific_f0_m1,17.816921295837048,3,23,True,False
margin,Alabama,scientific_f0_m1,17.319262829320188,4,22,True,False
margin,Ohio State,scientific_f0_m1,16.892566773769623,5,21,True,False
margin,Notre Dame,scientific_f0_m1,16.37463333269097,6,20,True,False
margin,Texas A&M,scientific_f0_m1,15.451661195252758,7,19,True,False
margin,LSU,scientific_f0_m1,15.3945226305786,8,18,True,False
margin,Florida,scientific_f0_m1,13.5195482784887,9,17,True,False
margin,Michigan,scientific_f0_m1,13.471164816466224,10,16,True,False
margin,Miami,scientific_f0_m1,13.283160506893193,11,15,True,False
margin,Tennessee,scientific_f0_m1,13.281317327387573,12,14,True,False
margin,Ole Miss,scientific_f0_m1,13.273023019612292,13,13,True,False
margin,USC,scientific_f0_m1,12.417909090316648,14,12,True,False
margin,South Carolina,scientific_f0_m1,12.22010672702801,15,11,True,False
margin,Clemson,scientific_f0_m1,12.219185137275204,16,10,True,False
margin,Oklahoma,scientific_f0_m1,11.679594337005536,17,9,True,False
margin,Auburn,scientific_f0_m1,10.622070095657216,18,8,True,False
margin,Missouri,scientific_f0_m1,9.708313855747091,19,7,True,False
margin,Mississippi State,scientific_f0_m1,9.53182941808417,20,6,True,False
margin,Nebraska,scientific_f0_m1,8.74479176918529,21,5,True,False
margin,Kentucky,scientific_f0_m1,8.70792817907293,22,4,True,False
margin,Washington,scientific_f0_m1,8.292291200556072,23,3,True,False
margin,UCLA,scientific_f0_m1,8.145758429859445,24,2,True,False
margin,Penn State,scientific_f0_m1,8.126865839926856,25,1,True,False
margin,Georgia,scientific_f0_m2,20.581585986724832,1,25,True,True
margin,Texas,scientific_f0_m2,19.59727862162178,2,24,True,False
margin,Oregon,scientific_f0_m2,19.551313091380347,3,23,True,False
margin,Alabama,scientific_f0_m2,18.950488507540587,4,22,True,False
margin,Ohio State,scientific_f0_m2,18.429229057530577,5,21,True,False
margin,Notre Dame,scientific_f0_m2,17.799746144874653,6,20,True,False
margin,Texas A&M,scientific_f0_m2,16.686779776370667,7,19,True,False
margin,LSU,scientific_f0_m2,16.618249359436106,8,18,True,False
margin,Florida,scientific_f0_m2,14.393400941937,9,17,True,False
margin,Michigan,scientific_f0_m2,14.336604099826904,10,16,True,False
margin,Miami,scientific_f0_m2,14.116201538768568,11,15,True,False
margin,Tennessee,scientific_f0_m2,14.114043042169143,12,14,True,False
margin,Ole Miss,scientific_f0_m2,14.104330363222829,13,13,True,False
margin,USC,scientific_f0_m2,13.16990340857758,14,12,True,False
margin,South Carolina,scientific_f0_m2,12.878744981642658,15,11,True,False
margin,Clemson,scientific_f0_m2,12.877678678413782,16,10,True,False
margin,Oklahoma,scientific_f0_m2,12.255285840556525,17,9,True,False
margin,Auburn,scientific_f0_m2,11.04664431662247,18,8,True,False
margin,Missouri,scientific_f0_m2,10.014220370197272,19,7,True,False
margin,Mississippi State,scientific_f0_m2,9.8160879903671,20,6,True,False
margin,Nebraska,scientific_f0_m2,8.937522877720347,21,5,True,False
margin,Kentucky,scientific_f0_m2,8.896573030994032,22,4,True,False
margin,Washington,scientific_f0_m2,8.436106600842278,23,3,True,False
margin,UCLA,scientific_f0_m2,8.274313679600256,24,2,True,False
margin,Penn State,scientific_f0_m2,8.253474242799909,25,1,True,False
margin,Texas A&M,scientific_f0_m3,34.01178297258297,1,25,True,True
margin,Georgia,scientific_f0_m3,28.96962349936588,2,24,True,False
margin,Florida,scientific_f0_m3,28.862333976317817,3,23,True,False
margin,Alabama,scientific_f0_m3,26.21456902251898,4,22,True,False
margin,Ohio State,scientific_f0_m3,23.207257641661776,5,21,True,False
margin,Arizona State,scientific_f0_m3,22.65093308285916,6,20,True,False
margin,Mississippi State,scientific_f0_m3,22.06817702637407,7,19,True,False
margin,Syracuse,scientific_f0_m3,21.005930191050783,8,18,True,False
margin,Kentucky,scientific_f0_m3,19.760341323178004,9,17,True,False
margin,Missouri,scientific_f0_m3,18.88360646232853,10,16,True,False
margin,Rice,scientific_f0_m3,18.8427621933622,11,15,True,False
margin,Notre Dame,scientific_f0_m3,18.23470767079698,12,14,True,False
margin,Ole Miss,scientific_f0_m3,17.293603785103784,13,13,True,False
margin,LSU,scientific_f0_m3,16.985858477521784,14,12,True,False
margin,Stanford,scientific_f0_m3,16.24800437830263,15,11,True,False
margin,Tennessee,scientific_f0_m3,15.958962515262517,16,10,True,False
margin,Georgia Tech,scientific_f0_m3,15.90264611832611,17,9,True,False
margin,Miami,scientific_f0_m3,15.830295848595853,18,8,True,False
margin,USC,scientific_f0_m3,15.825476720650986,19,7,True,False
margin,Virginia,scientific_f0_m3,15.808146336535318,20,6,True,False
margin,Maryland,scientific_f0_m3,15.584319480698513,21,5,True,False
margin,Arkansas,scientific_f0_m3,14.483077089169,22,4,True,False
margin,Houston,scientific_f0_m3,13.915284595959594,23,3,True,False
margin,Utah,scientific_f0_m3,13.89345126262626,24,2,True,False
margin,Louisville,scientific_f0_m3,12.52780158730158,25,1,True,False
margin,Georgia,scientific_f0_m4,19.52082356859973,1,25,True,True
margin,Alabama,scientific_f0_m4,19.32523556903849,2,24,True,False
margin,Oregon,scientific_f0_m4,19.32523556903849,3,23,True,False
margin,Texas,scientific_f0_m4,19.32523556903849,4,22,True,False
margin,Notre Dame,scientific_f0_m4,17.563174960920215,5,21,True,False
margin,Ohio State,scientific_f0_m4,17.563174960920215,6,20,True,False
margin,LSU,scientific_f0_m4,14.546117924627795,7,19,True,False
margin,Texas A&M,scientific_f0_m4,14.546117924627795,8,18,True,False
margin,Clemson,scientific_f0_m4,13.424130520966145,9,17,True,False
margin,South Carolina,scientific_f0_m4,13.424130520966145,10,16,True,False
margin,USC,scientific_f0_m4,12.87747723301114,11,15,True,False
