season,week,poll_objective,rank,keys_team,poll_points,ballots_seen,top25_votes,first_place_votes,average_rank,best_rank,worst_rank,reference_rank,tdnet_minus_reference,record,record_through_week,publication_completed_week,postgame_state_week,reference_snapshot_label
2026,1,margin,1,Ohio State,928,42,41,10,4.238095238095238,1,40,1,0,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,2,Oregon,915,42,41,13,4.404761904761905,1,34,2,0,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,3,Notre Dame,851,42,40,3,5.928571428571429,1,33,4,-1,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,4,Georgia,728,42,39,5,9.476190476190476,1,41,3,1,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,5,Indiana,691,42,36,0,11.30952380952381,3,42,6,-1,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,6,Alabama,674,42,39,0,11.952380952380953,2,79,13,-7,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,7,Ole Miss,594,42,36,0,13.5,3,45,9,-2,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,8,USC,586,42,38,1,13.857142857142858,1,64,14,-6,1–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,9,Miami,578,42,37,0,14.428571428571429,5,68,7,2,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,10,Texas A&M,526,42,40,1,13.476190476190476,1,26,8,2,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,11,Texas,508,42,37,0,16.952380952380953,2,76,5,6,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,12,Texas Tech,493,42,32,1,16.88095238095238,1,62,12,0,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,13,Michigan,424,42,37,1,17.357142857142858,1,61,16,-3,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,14,LSU,386,42,33,1,21.428571428571427,1,90,11,3,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,15,Clemson,372,42,32,0,22.404761904761905,3,111,,,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,16,Virginia,363,42,29,1,25.547619047619047,1,71,,,1–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,17,Washington,277,42,33,0,23.0,10,84,17,0,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,18,Tennessee,239,42,28,0,26.666666666666668,7,91,20,-2,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,19,Memphis,235,42,17,1,33.404761904761905,1,89,,,1–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,20,North Carolina,219,42,14,2,36.07142857142857,1,129,,,1–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,21,Oklahoma,218,42,29,0,24.976190476190474,6,61,10,11,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,22,Florida State,169,42,24,0,27.11904761904762,8,94,,,1–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,23,Vanderbilt,150,42,15,1,35.095238095238095,1,75,,,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,24,Florida,149,42,9,0,42.642857142857146,3,95,,,0–0,1,0,1,Latest available AP preseason poll (Week 1)
2026,1,margin,25,Utah,148,42,19,0,30.19047619047619,12,66,21,4,0–0,1,0,1,Latest available AP preseason poll (Week 1)
