poll_objective,keys_team,ballot_model,ballot_rank,poll_points,top25_vote,first_place_vote
margin,Ohio State,margin_boosted_hist_gradient_boosted,1,25,True,True
margin,Oregon,margin_boosted_hist_gradient_boosted,2,24,True,False
margin,Georgia,margin_boosted_hist_gradient_boosted,3,23,True,False
margin,Texas Tech,margin_boosted_hist_gradient_boosted,4,22,True,False
margin,Indiana,margin_boosted_hist_gradient_boosted,5,21,True,False
margin,Miami,margin_boosted_hist_gradient_boosted,6,20,True,False
margin,Texas A&M,margin_boosted_hist_gradient_boosted,7,19,True,False
margin,Notre Dame,margin_boosted_hist_gradient_boosted,8,18,True,False
margin,Alabama,margin_boosted_hist_gradient_boosted,9,17,True,False
margin,Utah,margin_boosted_hist_gradient_boosted,10,16,True,False
margin,Ole Miss,margin_boosted_hist_gradient_boosted,11,15,True,False
margin,Oklahoma,margin_boosted_hist_gradient_boosted,12,14,True,False
margin,Clemson,margin_boosted_hist_gradient_boosted,13,13,True,False
margin,Tennessee,margin_boosted_hist_gradient_boosted,14,12,True,False
margin,Texas,margin_boosted_hist_gradient_boosted,15,11,True,False
margin,USC,margin_boosted_hist_gradient_boosted,16,10,True,False
margin,Vanderbilt,margin_boosted_hist_gradient_boosted,17,9,True,False
margin,Penn State,margin_boosted_hist_gradient_boosted,18,8,True,False
margin,Michigan,margin_boosted_hist_gradient_boosted,19,7,True,False
margin,James Madison,margin_boosted_hist_gradient_boosted,20,6,True,False
margin,Missouri,margin_boosted_hist_gradient_boosted,21,5,True,False
margin,Auburn,margin_boosted_hist_gradient_boosted,22,4,True,False
margin,Iowa,margin_boosted_hist_gradient_boosted,23,3,True,False
margin,LSU,margin_boosted_hist_gradient_boosted,24,2,True,False
margin,South Florida,margin_boosted_hist_gradient_boosted,25,1,True,False
margin,Florida State,margin_boosted_hist_gradient_boosted,26,0,False,False
margin,BYU,margin_boosted_hist_gradient_boosted,27,0,False,False
margin,Washington,margin_boosted_hist_gradient_boosted,28,0,False,False
margin,SMU,margin_boosted_hist_gradient_boosted,29,0,False,False
margin,North Texas,margin_boosted_hist_gradient_boosted,30,0,False,False
margin,Boise State,margin_boosted_hist_gradient_boosted,31,0,False,False
margin,Louisville,margin_boosted_hist_gradient_boosted,32,0,False,False
margin,Toledo,margin_boosted_hist_gradient_boosted,33,0,False,False
margin,Nebraska,margin_boosted_hist_gradient_boosted,34,0,False,False
margin,Tulane,margin_boosted_hist_gradient_boosted,35,0,False,False
margin,Illinois,margin_boosted_hist_gradient_boosted,36,0,False,False
margin,Wake Forest,margin_boosted_hist_gradient_boosted,37,0,False,False
margin,Memphis,margin_boosted_hist_gradient_boosted,38,0,False,False
margin,East Carolina,margin_boosted_hist_gradient_boosted,39,0,False,False
margin,Duke,margin_boosted_hist_gradient_boosted,40,0,False,False
margin,Iowa State,margin_boosted_hist_gradient_boosted,41,0,False,False
margin,Kansas State,margin_boosted_hist_gradient_boosted,42,0,False,False
margin,UNLV,margin_boosted_hist_gradient_boosted,43,0,False,False
margin,Pittsburgh,margin_boosted_hist_gradient_boosted,44,0,False,False
margin,TCU,margin_boosted_hist_gradient_boosted,45,0,False,False
margin,Arizona,margin_boosted_hist_gradient_boosted,46,0,False,False
margin,Florida,margin_boosted_hist_gradient_boosted,47,0,False,False
margin,Texas State,margin_boosted_hist_gradient_boosted,48,0,False,False
margin,Georgia Tech,margin_boosted_hist_gradient_boosted,49,0,False,False
margin,UTSA,margin_boosted_hist_gradient_boosted,50,0,False,False
margin,Cincinnati,margin_boosted_hist_gradient_boosted,51,0,False,False
margin,Virginia,margin_boosted_hist_gradient_boosted,52,0,False,False
margin,Navy,margin_boosted_hist_gradient_boosted,53,0,False,False
margin,NC State,margin_boosted_hist_gradient_boosted,54,0,False,False
margin,South Carolina,margin_boosted_hist_gradient_boosted,55,0,False,False
margin,Houston,margin_boosted_hist_gradient_boosted,56,0,False,False
margin,Western Kentucky,margin_boosted_hist_gradient_boosted,57,0,False,False
margin,San Diego State,margin_boosted_hist_gradient_boosted,58,0,False,False
margin,Ohio,margin_boosted_hist_gradient_boosted,59,0,False,False
margin,Jacksonville State,margin_boosted_hist_gradient_boosted,60,0,False,False
margin,Kennesaw State,margin_boosted_hist_gradient_boosted,61,0,False,False
margin,New Mexico,margin_boosted_hist_gradient_boosted,62,0,False,False
margin,Arkansas,margin_boosted_hist_gradient_boosted,63,0,False,False
margin,Fresno State,margin_boosted_hist_gradient_boosted,64,0,False,False
margin,Utah State,margin_boosted_hist_gradient_boosted,65,0,False,False
margin,Baylor,margin_boosted_hist_gradient_boosted,66,0,False,False
margin,Arizona State,margin_boosted_hist_gradient_boosted,67,0,False,False
margin,Old Dominion,margin_boosted_hist_gradient_boosted,68,0,False,False
margin,Marshall,margin_boosted_hist_gradient_boosted,69,0,False,False
margin,UConn,margin_boosted_hist_gradient_boosted,70,0,False,False
margin,Minnesota,margin_boosted_hist_gradient_boosted,71,0,False,False
margin,Kansas,margin_boosted_hist_gradient_boosted,72,0,False,False
margin,Washington State,margin_boosted_hist_gradient_boosted,73,0,False,False
margin,Western Michigan,margin_boosted_hist_gradient_boosted,74,0,False,False
margin,Florida International,margin_boosted_hist_gradient_boosted,75,0,False,False
margin,Kentucky,margin_boosted_hist_gradient_boosted,76,0,False,False
margin,Southern Miss,margin_boosted_hist_gradient_boosted,77,0,False,False
margin,Northwestern,margin_boosted_hist_gradient_boosted,78,0,False,False
margin,Air Force,margin_boosted_hist_gradient_boosted,79,0,False,False
margin,Rutgers,margin_boosted_hist_gradient_boosted,80,0,False,False
margin,UCF,margin_boosted_hist_gradient_boosted,81,0,False,False
margin,Miami (OH),margin_boosted_hist_gradient_boosted,82,0,False,False
margin,Liberty,margin_boosted_hist_gradient_boosted,83,0,False,False
margin,Wisconsin,margin_boosted_hist_gradient_boosted,84,0,False,False
margin,Louisiana Tech,margin_boosted_hist_gradient_boosted,85,0,False,False
margin,Mississippi State,margin_boosted_hist_gradient_boosted,86,0,False,False
margin,California,margin_boosted_hist_gradient_boosted,87,0,False,False
margin,Virginia Tech,margin_boosted_hist_gradient_boosted,88,0,False,False
margin,Boston College,margin_boosted_hist_gradient_boosted,89,0,False,False
margin,South Alabama,margin_boosted_hist_gradient_boosted,90,0,False,False
margin,Delaware,margin_boosted_hist_gradient_boosted,91,0,False,False
margin,Central Michigan,margin_boosted_hist_gradient_boosted,92,0,False,False
margin,Army,margin_boosted_hist_gradient_boosted,93,0,False,False
margin,Stanford,margin_boosted_hist_gradient_boosted,94,0,False,False
margin,Tulsa,margin_boosted_hist_gradient_boosted,95,0,False,False
margin,Hawai'i,margin_boosted_hist_gradient_boosted,96,0,False,False
margin,North Carolina,margin_boosted_hist_gradient_boosted,97,0,False,False
margin,Maryland,margin_boosted_hist_gradient_boosted,98,0,False,False
margin,Michigan State,margin_boosted_hist_gradient_boosted,99,0,False,False
margin,Florida Atlantic,margin_boosted_hist_gradient_boosted,100,0,False,False
margin,Missouri State,margin_boosted_hist_gradient_boosted,101,0,False,False
margin,Oregon State,margin_boosted_hist_gradient_boosted,102,0,False,False
