keys_team,poll_points,top25_votes,ballots_seen,best_ballot_rank
Washington,94,21,33,7
Florida,62,4,33,8
SMU,61,16,33,18
Louisville,42,10,33,9
James Madison,42,7,33,18
Wisconsin,37,3,33,11
South Florida,29,12,33,17
Kentucky,27,4,33,17
Illinois,25,4,33,11
Northwestern,22,3,33,9
Kansas State,18,3,33,17
Iowa State,17,1,33,9
UNLV,16,3,33,17
Arizona,14,2,33,18
Boise State,14,2,33,14
South Carolina,13,3,33,17
Toledo,12,2,33,20
Washington State,11,1,33,15
Wake Forest,10,2,33,17
Georgia Tech,8,1,33,18
Nebraska,8,1,33,18
Virginia,7,1,33,19
Liberty,6,2,33,23
Duke,6,1,33,20
Texas State,6,1,33,20
Western Kentucky,6,1,33,20
Delaware,4,1,33,22
Navy,4,1,33,22
East Carolina,2,2,33,25
Florida Atlantic,2,2,33,25
App State,2,1,33,24
Pittsburgh,2,1,33,24
Tulsa,2,1,33,24
Baylor,1,1,33,25
