season,week,poll_objective,rank,keys_team,poll_points,ballots_seen,top25_votes,first_place_votes,average_rank,best_rank,worst_rank,reference_rank,tdnet_minus_reference
2026,0,margin,1,Ohio State,804,33,33,24,1.6363636363636365,1,6,1.0,0.0
2026,0,margin,2,Oregon,760,33,33,3,2.9696969696969697,1,18,2.0,0.0
2026,0,margin,3,Georgia,712,33,33,3,4.424242424242424,1,21,3.0,0.0
2026,0,margin,4,Texas Tech,589,33,29,1,13.333333333333334,1,81,12.0,-8.0
2026,0,margin,5,Indiana,565,33,29,0,11.666666666666666,3,66,6.0,-1.0
2026,0,margin,6,Miami,557,33,32,0,10.030303030303031,4,56,7.0,-1.0
2026,0,margin,7,Notre Dame,555,33,31,1,9.484848484848484,1,31,4.0,3.0
2026,0,margin,8,Texas A&M,535,33,33,0,9.787878787878787,4,16,8.0,0.0
2026,0,margin,9,Ole Miss,535,33,31,0,10.242424242424242,5,40,9.0,0.0
2026,0,margin,10,Alabama,493,33,32,0,11.575757575757576,3,43,13.0,-3.0
2026,0,margin,11,USC,459,33,33,0,12.090909090909092,5,23,14.0,-3.0
2026,0,margin,12,Oklahoma,452,33,31,0,12.515151515151516,4,32,10.0,2.0
2026,0,margin,13,Utah,368,33,29,0,15.757575757575758,3,48,21.0,-8.0
2026,0,margin,14,Michigan,341,33,31,0,15.818181818181818,2,29,16.0,-2.0
2026,0,margin,15,Texas,341,33,30,0,16.424242424242426,2,46,5.0,10.0
2026,0,margin,16,Penn State,326,33,29,0,19.060606060606062,4,80,18.0,-2.0
2026,0,margin,17,Tennessee,315,33,30,0,17.09090909090909,11,35,20.0,-3.0
2026,0,margin,18,Clemson,297,33,30,0,18.0,2,43,,
2026,0,margin,19,Missouri,274,33,29,0,18.96969696969697,6,37,25.0,-6.0
2026,0,margin,20,BYU,223,33,27,0,21.454545454545453,5,60,14.0,6.0
2026,0,margin,21,Iowa,142,33,26,0,22.939393939393938,3,39,22.0,-1.0
2026,0,margin,22,LSU,141,33,17,0,23.636363636363637,4,55,11.0,11.0
2026,0,margin,23,Vanderbilt,118,33,22,1,28.90909090909091,1,88,,
2026,0,margin,24,Florida State,97,33,14,0,27.363636363636363,14,72,,
2026,0,margin,25,Auburn,94,33,10,0,28.272727272727273,3,66,,
