ballot_model,mean_absolute_rank_delta,median_absolute_rank_delta,top25_overlap,top25_membership_disagreements,largest_rank_outlier_team,largest_rank_outlier_delta,rank_correlation
scientific_f0_m3,24.64,11.0,14,11,Kansas State,98.0,0.39076923076923076
scientific_f0_m10,21.36,6.0,13,12,Texas,77.0,0.3153846153846154
scientific_f6_m5,18.4,13.0,13,12,Maryland,67.0,0.4646153846153846
scientific_f0_m4,16.32,9.0,16,9,UCF,64.0,0.5061538461538462
scientific_f4_m5,15.96,10.0,16,9,Florida,54.0,0.41615384615384615
scientific_f1_m10,15.2,9.0,17,8,Tennessee,54.0,0.2846153846153846
scientific_f0_m1,14.36,9.0,16,9,UCF,53.0,0.4684615384615385
scientific_f0_m2,14.36,9.0,16,9,UCF,53.0,0.4684615384615385
scientific_f0_m5,14.36,9.0,16,9,UCF,53.0,0.4684615384615385
scientific_f3_m10,13.88,12.0,18,7,Notre Dame,39.0,0.06769230769230769
scientific_f5_m5,13.72,7.0,17,8,Maryland,62.0,0.5107692307692308
scientific_f3_m5,13.16,9.0,17,8,Oklahoma,58.0,0.38461538461538464
scientific_f2_m10,13.08,7.0,15,10,Alabama,42.0,0.14923076923076922
scientific_f2_m5,12.92,8.0,17,8,Alabama,47.0,0.4707692307692308
scientific_f4_m10,11.8,7.0,17,8,Notre Dame,29.0,0.2276923076923077
scientific_f1_m5,10.8,8.0,20,5,Oregon,55.0,0.4376923076923077
scientific_f1_m3,9.24,7.0,21,4,Oregon,64.0,0.5769230769230769
scientific_f3_m2,8.4,4.0,19,6,Virginia Tech,60.0,0.6276923076923077
scientific_f3_m4,8.08,6.0,19,6,Virginia Tech,30.0,0.72
scientific_f2_m3,8.04,5.0,18,7,Oregon,37.0,0.6523076923076923
scientific_f4_m2,7.84,4.0,20,5,Virginia Tech,58.0,0.6430769230769231
scientific_f6_m10,7.76,4.0,18,7,Alabama,30.0,0.5815384615384616
scientific_f2_m2,7.72,7.0,22,3,Virginia Tech,30.0,0.6592307692307692
scientific_f5_m10,7.6,4.0,18,7,BYU,30.0,0.5361538461538462
scientific_f1_m4,7.52,4.0,21,4,Oregon,57.0,0.7115384615384616
scientific_f5_m3,7.44,5.0,20,5,Virginia Tech,26.0,0.6423076923076924
scientific_f1_m2,7.44,7.0,22,3,Oregon,25.0,0.5961538461538461
scientific_f4_m4,7.36,6.0,20,5,Maryland,27.0,0.7084615384615385
scientific_f2_m4,7.32,5.0,21,4,Oregon,46.0,0.7692307692307693
scientific_f6_m4,7.28,5.0,20,5,Maryland,32.0,0.573076923076923
scientific_f5_m4,7.04,3.0,21,4,Maryland,29.0,0.6446153846153846
scientific_f2_m1,6.84,6.0,21,4,Oregon,23.0,0.5884615384615385
scientific_f6_m3,6.28,5.0,21,4,Maryland,18.0,0.5915384615384616
scientific_f1_m1,6.16,5.0,22,3,Oregon,23.0,0.683076923076923
scientific_f4_m3,5.96,4.0,20,5,Maryland,15.0,0.6861538461538461
scientific_f3_m3,5.88,5.0,21,4,Oregon,22.0,0.7438461538461538
scientific_f4_m1,5.2,5.0,21,4,Minnesota,17.0,0.7446153846153846
scientific_f3_m1,4.92,3.0,19,6,USC,20.0,0.8246153846153846
scientific_f6_m1,4.52,3.0,22,3,Maryland,12.0,0.7792307692307693
scientific_f5_m1,4.48,4.0,22,3,Maryland,13.0,0.8138461538461539
scientific_f6_m2,3.8,2.0,23,2,Utah,13.0,0.7876923076923077
scientific_f5_m2,3.68,2.0,23,2,UCF,13.0,0.8107692307692308
