ballot_rank,scientific_f0_m1,scientific_f0_m10,scientific_f0_m2,scientific_f0_m3,scientific_f0_m4,scientific_f0_m5,scientific_f1_m1,scientific_f1_m10,scientific_f1_m2,scientific_f1_m3,scientific_f1_m4,scientific_f1_m5,scientific_f2_m1,scientific_f2_m10,scientific_f2_m2,scientific_f2_m3,scientific_f2_m4,scientific_f2_m5,scientific_f3_m1,scientific_f3_m10,scientific_f3_m2,scientific_f3_m3,scientific_f3_m4,scientific_f3_m5,scientific_f4_m1,scientific_f4_m10,scientific_f4_m2,scientific_f4_m3,scientific_f4_m4,scientific_f4_m5,scientific_f5_m1,scientific_f5_m10,scientific_f5_m2,scientific_f5_m3,scientific_f5_m4,scientific_f5_m5,scientific_f6_m1,scientific_f6_m10,scientific_f6_m2,scientific_f6_m3,scientific_f6_m4,scientific_f6_m5
1,Georgia,Texas A&M,Georgia,Texas A&M,Georgia,Georgia,Georgia,Louisiana Tech,Georgia,Georgia,Georgia,Arizona State,South Carolina,Kansas State,Georgia,Georgia,Georgia,Georgia,Georgia,Virginia Tech,Georgia,Georgia,Georgia,Georgia,Ohio State,Missouri,Georgia,Georgia,Ohio State,Georgia,Ohio State,Georgia,Ohio State,Georgia,Ohio State,Texas,Ohio State,Georgia,Georgia,Georgia,Georgia,Georgia
2,Texas,Ohio State,Texas,Georgia,Alabama,Texas,Texas,Texas,Texas,BYU,Texas,Texas,Georgia,Georgia,South Carolina,LSU,Ohio State,South Carolina,Ohio State,Missouri,Ohio State,Ohio State,Ohio State,Ohio State,Georgia,Virginia Tech,Ohio State,Ohio State,Georgia,Texas,Georgia,Ohio State,Georgia,Ohio State,Georgia,Georgia,Georgia,Ohio State,Ohio State,Ohio State,Ohio State,Illinois
3,Oregon,Georgia,Oregon,Florida,Oregon,Oregon,South Carolina,Georgia,Ohio State,Texas,Texas A&M,Virginia Tech,Virginia Tech,South Carolina,Texas,Texas A&M,South Carolina,Florida,Texas,Oklahoma,Texas,Texas A&M,Alabama,Texas,Texas,Georgia,Texas,LSU,Oklahoma,Tennessee,Texas,LSU,Texas A&M,Alabama,LSU,Alabama,Texas,Tennessee,Texas A&M,Tennessee,LSU,Michigan State
4,Alabama,Syracuse,Alabama,Alabama,Texas,Alabama,Virginia Tech,Syracuse,Virginia Tech,Arizona State,Ohio State,Georgia,Ohio State,Louisiana Tech,Florida,Ohio State,Texas,Texas,Alabama,Maryland,UCF,Alabama,Texas A&M,UCF,Texas A&M,Minnesota,UCF,Texas A&M,Texas A&M,Arizona State,Texas A&M,Oklahoma,LSU,Texas A&M,Texas,Ohio State,Texas A&M,Oklahoma,LSU,Texas A&M,Texas,Iowa
5,Ohio State,Virginia Tech,Ohio State,Ohio State,Notre Dame,Ohio State,Ohio State,Mississippi State,South Carolina,Ohio State,South Carolina,Maryland,Minnesota,Kansas,LSU,Syracuse,Texas A&M,Mississippi State,Texas A&M,UCF,LSU,Tennessee,LSU,Notre Dame,Alabama,Oklahoma,LSU,BYU,LSU,Kansas State,Oklahoma,Texas A&M,Texas,BYU,BYU,Oklahoma,Alabama,LSU,Texas,Alabama,Texas A&M,Ohio State
6,Notre Dame,Alabama,Notre Dame,Arizona State,Ohio State,Notre Dame,Kansas State,Ohio State,Maryland,South Carolina,LSU,UCF,Texas A&M,Maryland,Arizona State,South Carolina,Kansas State,UCF,LSU,Georgia,Arizona State,LSU,Oklahoma,Louisiana,Oklahoma,UCF,Arizona State,Tennessee,BYU,South Florida,Alabama,South Carolina,Oklahoma,LSU,Texas A&M,Penn State,Oklahoma,UCF,Alabama,LSU,Alabama,Tennessee
7,Texas A&M,Florida State,Texas A&M,Mississippi State,LSU,Texas A&M,Texas A&M,Arizona State,Florida,Maryland,Florida,Florida,LSU,UCF,Mississippi State,Kansas State,Alabama,Ohio State,Oklahoma,Minnesota,Alabama,BYU,BYU,Tennessee,Minnesota,BYU,Mississippi State,Oklahoma,Alabama,UCF,Kansas State,Missouri,Alabama,Texas,Alabama,Arizona State,Virginia Tech,Arizona State,South Carolina,USC,Oregon,Oregon
8,LSU,Georgia Tech,LSU,Syracuse,Texas A&M,LSU,Arizona State,Maryland,Kansas State,LSU,Maryland,Louisiana Tech,Florida,Syracuse,Alabama,UCF,LSU,Arizona State,BYU,Ohio State,Mississippi State,Oklahoma,Tennessee,South Carolina,South Carolina,Kansas State,BYU,Alabama,Texas,Minnesota,BYU,UConn,BYU,Tennessee,Oklahoma,Duke,Kansas State,Kansas State,Tennessee,Utah,Tennessee,Notre Dame
9,USC,Arizona State,USC,Kentucky,Clemson,USC,Maryland,Penn State,Arizona State,Penn State,Alabama,Ohio State,Kansas State,LSU,Ohio State,Maryland,Syracuse,LSU,Minnesota,USC,BYU,South Carolina,Texas,Army,Virginia Tech,Texas A&M,Tennessee,Kansas State,Penn State,Penn State,Tennessee,Oregon,Tennessee,Oklahoma,Tennessee,Miami,Tennessee,UConn,Kansas State,Oklahoma,Utah,Army
10,Florida,UNLV,Florida,Florida State,South Carolina,Florida,Tennessee,Purdue,UCF,Florida,BYU,Texas A&M,Arizona State,Penn State,Texas A&M,Oklahoma,BYU,Virginia Tech,Tennessee,Kansas,Utah,Missouri,Missouri,Arizona State,Tennessee,Delaware,Florida,Utah,Tennessee,Notre Dame,LSU,Arizona State,South Carolina,Utah,Oregon,Tennessee,BYU,Texas A&M,BYU,BYU,Oklahoma,Michigan
