scorecard_rank,model_name,games,straight_up_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes
1,scientific_F0_M4,49,0.8163265306122449,12.422445650496217,27,22,0
2,scientific_F0_M5,49,0.7959183673469388,12.447088098039432,29,20,0
3,scientific_F0_M2,49,0.8367346938775511,12.59648158530652,27,22,0
4,scientific_F0_M1,49,0.7959183673469388,12.885538281435979,26,23,0
5,scientific_F6_M4,49,0.673469387755102,13.052114203938846,26,23,0
6,scientific_F5_M4,49,0.673469387755102,13.730985028208549,25,24,0
7,scientific_F6_M3,49,0.6122448979591837,13.787331277708235,26,23,0
8,scientific_F5_M3,49,0.6530612244897959,13.996282871286667,27,22,0
9,scientific_F3_M4,49,0.6530612244897959,14.0217449500871,27,22,0
10,scientific_F0_M10,49,0.7142857142857143,14.426129642482548,30,19,0
11,scientific_F4_M4,49,0.6122448979591837,14.45721464510183,23,26,0
12,scientific_F2_M4,49,0.6326530612244898,14.67836342098799,23,26,0
13,scientific_F6_M2,49,0.5714285714285714,14.77702092054616,29,20,0
14,scientific_F0_M3,49,0.6938775510204082,14.844017594014776,30,19,0
15,scientific_F5_M5,49,0.6530612244897959,15.07732373962597,26,23,0
16,scientific_F4_M3,49,0.5918367346938775,15.139035051150781,25,24,0
17,scientific_F1_M4,49,0.6938775510204082,15.191376025298544,26,23,0
18,scientific_F4_M2,49,0.6326530612244898,15.406651699762369,27,22,0
19,scientific_F1_M3,49,0.6326530612244898,15.415679223073049,26,23,0
20,scientific_F3_M2,49,0.5918367346938775,15.430623773846197,26,23,0
21,scientific_F3_M3,49,0.5714285714285714,15.459499305947245,25,24,0
22,scientific_F6_M5,49,0.6938775510204082,15.513539423747938,23,26,0
23,scientific_F5_M2,49,0.5510204081632653,15.543263496603663,26,23,0
24,scientific_F6_M10,49,0.5714285714285714,15.830102040816326,25,24,0
25,scientific_F2_M2,49,0.6326530612244898,15.859867404797379,24,25,0
26,scientific_F6_M1,49,0.5714285714285714,16.42214692689652,26,23,0
27,scientific_F1_M5,49,0.6326530612244898,16.732415150546906,28,21,0
28,scientific_F5_M1,49,0.5918367346938775,16.733007616752808,26,23,0
29,scientific_F2_M3,49,0.5714285714285714,16.856970440194,23,26,0
30,scientific_F5_M10,49,0.5510204081632653,17.044897959183672,25,24,0
31,scientific_F1_M10,49,0.5306122448979592,17.0762550350178,24,25,0
32,scientific_F1_M2,49,0.5714285714285714,17.353329349386225,26,23,0
33,scientific_F3_M1,49,0.5510204081632653,17.44327006475322,26,23,0
34,scientific_F4_M1,49,0.5510204081632653,17.52726221217812,24,25,0
35,scientific_F4_M10,49,0.5102040816326531,17.600792641781794,25,24,0
36,scientific_F3_M10,49,0.4897959183673469,17.833012183298724,26,23,0
37,scientific_F2_M10,49,0.46938775510204084,19.397127253981427,26,23,0
38,scientific_F2_M1,49,0.6122448979591837,19.464187985230136,24,25,0
39,scientific_F3_M5,49,0.5714285714285714,19.545568699739416,25,24,0
40,scientific_F1_M1,49,0.5918367346938775,19.577183381758083,24,25,0
41,scientific_F2_M5,49,0.5714285714285714,20.033953754269348,23,26,0
42,scientific_F4_M5,49,0.5306122448979592,22.369128907213405,24,25,0
