postgame_margin_rank,scorecard_rank,model_name,games,su_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes,model_family,feature_config,model_id,su_wins,su_losses,ats_accuracy_excluding_pushes,brier_score
1,1,scientific_F0_M4,49,0.8163265306122449,12.422445650496217,27,22,0,F0 · boosted,F0,scientific_F0_M4,40,9,0.5510204081632653,
2,2,scientific_F0_M5,49,0.7959183673469388,12.447088098039432,29,20,0,F0 · neural,F0,scientific_F0_M5,39,10,0.5918367346938775,
3,3,scientific_F0_M2,49,0.8367346938775511,12.59648158530652,27,22,0,F0 · spline,F0,scientific_F0_M2,41,8,0.5510204081632653,
4,4,scientific_F0_M1,49,0.7959183673469388,12.88553828143598,26,23,0,F0 · linear,F0,scientific_F0_M1,39,10,0.5306122448979592,
5,5,scientific_F6_M4,49,0.673469387755102,13.052114203938846,26,23,0,F6 · boosted,F6,scientific_F6_M4,33,16,0.5306122448979592,
6,6,scientific_F5_M4,49,0.673469387755102,13.730985028208549,25,24,0,F5 · boosted,F5,scientific_F5_M4,33,16,0.5102040816326531,
7,7,scientific_F6_M3,49,0.6122448979591837,13.787331277708237,26,23,0,F6 · tree,F6,scientific_F6_M3,30,19,0.5306122448979592,
8,8,scientific_F5_M3,49,0.6530612244897959,13.996282871286668,27,22,0,F5 · tree,F5,scientific_F5_M3,32,17,0.5510204081632653,
9,9,scientific_F3_M4,49,0.6530612244897959,14.0217449500871,27,22,0,F3 · boosted,F3,scientific_F3_M4,32,17,0.5510204081632653,
10,10,scientific_F0_M10,49,0.7142857142857143,14.426129642482548,30,19,0,F0 · knn,F0,scientific_F0_M10,35,14,0.6122448979591837,
11,11,scientific_F4_M4,49,0.6122448979591837,14.45721464510183,23,26,0,F4 · boosted,F4,scientific_F4_M4,30,19,0.46938775510204084,
12,12,scientific_F2_M4,49,0.6326530612244898,14.67836342098799,23,26,0,F2 · boosted,F2,scientific_F2_M4,31,18,0.46938775510204084,
13,13,scientific_F6_M2,49,0.5714285714285714,14.77702092054616,29,20,0,F6 · spline,F6,scientific_F6_M2,28,21,0.5918367346938775,
14,14,scientific_F0_M3,49,0.6938775510204082,14.844017594014776,30,19,0,F0 · tree,F0,scientific_F0_M3,34,15,0.6122448979591837,
15,15,scientific_F5_M5,49,0.6530612244897959,15.07732373962597,26,23,0,F5 · neural,F5,scientific_F5_M5,32,17,0.5306122448979592,
16,16,scientific_F4_M3,49,0.5918367346938775,15.13903505115078,25,24,0,F4 · tree,F4,scientific_F4_M3,29,20,0.5102040816326531,
17,17,scientific_F1_M4,49,0.6938775510204082,15.191376025298544,26,23,0,F1 · boosted,F1,scientific_F1_M4,34,15,0.5306122448979592,
18,18,scientific_F4_M2,49,0.6326530612244898,15.406651699762367,27,22,0,F4 · spline,F4,scientific_F4_M2,31,18,0.5510204081632653,
19,19,scientific_F1_M3,49,0.6326530612244898,15.415679223073049,26,23,0,F1 · tree,F1,scientific_F1_M3,31,18,0.5306122448979592,
