season,week,poll_objective,rank,keys_team,poll_points,ballots_seen,top25_votes,first_place_votes,average_rank,best_rank,worst_rank,record,record_through_week,publication_completed_week,postgame_state_week,reference_snapshot_label,reference_rank,tdnet_minus_reference
2026,3,all,1,Georgia,985,42,42,30,2.5476190476190474,1,16,2–0,3,2,3,AP Top 25 (Post-Week 2),2,-1
2026,3,all,2,Notre Dame,799,42,40,0,7.452380952380952,2,36,2–0,3,2,3,AP Top 25 (Post-Week 2),3,-1
2026,3,all,3,LSU,751,42,41,2,8.142857142857142,1,27,2–0,3,2,3,AP Top 25 (Post-Week 2),7,-4
2026,3,all,4,Alabama,748,42,39,1,8.452380952380953,1,32,2–0,3,2,3,AP Top 25 (Post-Week 2),10,-6
2026,3,all,5,Miami,729,42,38,3,11.69047619047619,1,75,2–0,3,2,3,AP Top 25 (Post-Week 2),5,0
2026,3,all,6,Ohio State,687,42,39,1,10.214285714285714,1,38,1–1,3,2,3,AP Top 25 (Post-Week 2),6,0
2026,3,all,7,Texas A&M,662,42,39,1,10.571428571428571,1,31,2–0,3,2,3,AP Top 25 (Post-Week 2),9,-2
2026,3,all,8,South Carolina,604,42,39,1,13.476190476190476,1,92,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,9,Indiana,596,42,36,0,13.904761904761903,3,44,2–0,3,2,3,AP Top 25 (Post-Week 2),4,5
2026,3,all,10,Florida,588,42,40,0,13.547619047619047,3,80,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,11,Kansas State,532,42,35,1,18.83333333333333,1,109,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,12,Texas,523,42,38,0,14.404761904761903,2,40,2–0,3,2,3,AP Top 25 (Post-Week 2),1,11
2026,3,all,13,Utah,433,42,33,0,21.52380952380953,3,69,2–0,3,2,3,AP Top 25 (Post-Week 2),17,-4
2026,3,all,14,Tennessee,427,42,38,1,16.714285714285715,1,46,2–0,3,2,3,AP Top 25 (Post-Week 2),15,-1
2026,3,all,15,Houston,377,42,34,0,22.0,3,66,2–0,3,2,3,AP Top 25 (Post-Week 2),22,-7
2026,3,all,16,Mississippi State,337,42,36,0,20.071428571428573,6,69,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,17,Ole Miss,327,42,30,0,21.785714285714285,5,61,2–0,3,2,3,AP Top 25 (Post-Week 2),8,9
2026,3,all,18,BYU,263,42,29,0,26.404761904761905,4,76,2–0,3,2,3,AP Top 25 (Post-Week 2),11,7
2026,3,all,19,Virginia Tech,261,42,22,0,26.5,3,103,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,20,SMU,250,42,27,0,24.33333333333333,4,97,2–0,3,2,3,AP Top 25 (Post-Week 2),16,4
2026,3,all,21,James Madison,241,42,26,0,33.04761904761905,4,130,2–0,3,2,3,AP Top 25 (Post-Week 2),,
2026,3,all,22,Virginia,233,42,23,0,27.071428571428573,3,72,2–0,3,2,3,AP Top 25 (Post-Week 2),25,-3
2026,3,all,23,USC,203,42,24,0,25.785714285714285,5,79,3–0,3,2,3,AP Top 25 (Post-Week 2),12,11
2026,3,all,24,Missouri,185,42,31,0,23.761904761904763,10,43,2–0,3,2,3,AP Top 25 (Post-Week 2),20,4
2026,3,all,25,Nebraska,166,42,29,0,27.23809523809524,9,75,2–0,3,2,3,AP Top 25 (Post-Week 2),,
