consensus_power_rank,poll_points_rank,consensus_power_top25,poll_points_top25,keys_team,predicted_margin_vs_average_team,median_margin_vs_average_team,minimum_model_margin_vs_average,maximum_model_margin_vs_average,model_margin_standard_deviation,average_ballot_rank,best_ballot_rank,worst_ballot_rank,scientific_models,top25_votes,poll_points,first_place_votes
1,1,True,True,Georgia,33.807,34.263,16.324,54.566,7.81,1.571,1,6,42,42,1026,27
2,2,True,True,Ohio State,29.471,29.962,16.007,41.894,6.409,4.167,1,17,42,42,917,6
3,3,True,True,Texas A&M,25.47,26.372,14.367,55.373,7.076,8.429,1,32,42,41,744,2
4,4,True,True,Texas,25.189,26.052,0.212,38.748,8.203,10.857,1,81,42,36,717,1
5,5,True,True,LSU,23.889,25.647,12.183,31.941,5.18,9.643,2,28,42,40,690,0
6,7,True,True,Tennessee,23.006,24.544,6.565,35.393,5.512,12.667,3,61,42,40,600,0
7,6,True,True,Alabama,22.997,25.271,7.043,37.193,6.57,13.952,2,53,42,34,624,0
8,8,True,True,South Carolina,21.624,22.374,-1.477,40.074,8.966,16.738,1,91,42,36,554,1
9,10,True,True,Arizona State,21.586,22.442,5.247,35.303,7.087,16.405,1,45,42,37,483,1
10,9,True,True,Oklahoma,21.132,24.165,1.653,30.387,7.548,17.262,3,67,42,33,509,0
11,11,True,True,Kansas State,20.081,22.336,-5.874,35.8,8.957,21.048,1,109,42,34,455,1
12,13,True,True,UCF,19.702,21.08,1.979,31.11,8.232,22.5,4,77,42,30,400,0
13,12,True,True,BYU,19.49,23.903,3.66,30.052,8.627,23.548,2,69,42,29,419,0
14,14,True,True,Florida,19.422,18.765,1.238,35.528,6.912,19.857,3,68,42,30,362,0
15,15,True,True,Missouri,19.256,20.439,8.196,31.076,5.087,19.357,1,44,42,37,342,1
16,16,True,True,Notre Dame,18.97,19.543,9.592,30.312,3.947,20.643,5,55,42,32,328,0
17,19,True,True,Mississippi State,18.954,18.94,9.282,32.226,5.698,20.31,5,38,42,29,296,0
18,17,True,True,Penn State,18.892,20.9,-0.517,29.05,6.749,22.024,6,87,42,31,316,0
19,23,True,True,Miami,18.549,18.586,8.581,27.963,3.955,21.381,9,44,42,28,238,0
20,24,True,True,Minnesota,17.515,17.771,0.838,30.792,7.742,26.571,4,78,42,24,236,0
21,18,True,True,Virginia Tech,17.401,17.699,-3.573,32.755,9.97,26.81,1,78,42,23,315,1
22,25,True,True,Utah,17.048,19.742,-0.748,26.082,7.086,27.786,8,73,42,25,231,0
23,22,True,True,USC,16.269,16.517,2.163,23.856,4.743,26.357,7,73,42,22,252,0
24,21,True,True,Maryland,16.083,15.602,-5.349,30.506,8.895,29.548,4,88,42,19,264,0
25,26,True,False,Syracuse,16.04,15.825,-6.518,28.688,7.967,29.5,4,93,42,19,201,0
26,27,False,False,Kansas,15.994,18.001,-5.815,29.792,7.609,30.643,5,108,42,21,190,0
27,28,False,False,Iowa,15.345,16.771,-12.807,23.666,7.717,31.69,4,129,42,19,149,0
28,32,False,False,Kentucky,15.15,15.856,-0.977,21.777,4.617,29.333,9,71,42,14,98,0
29,30,False,False,Pittsburgh,15.041,17.326,2.828,24.543,6.631,32.738,12,74,42,18,107,0
30,20,False,True,Oregon,14.623,15.83,-0.586,24.972,7.001,32.31,3,84,42,19,269,0
31,40,False,False,Indiana,13.726,15.199,-2.177,22.165,4.975,33.357,18,73,42,11,48,0
32,33,False,False,UConn,13.483,15.713,-5.836,23.833,7.091,38.071,8,110,42,12,87,0
33,37,False,False,Nebraska,13.135,12.922,1.492,25.715,4.484,35.857,16,81,42,8,52,0
34,29,False,False,Michigan,12.521,13.433,-5.947,24.453,6.474,37.214,10,99,42,18,141,0
35,31,False,False,Louisiana Tech,12.135,13.3,-7.729,33.939,10.02,46.857,1,124,42,8,105,1
36,50,False,False,Arizona,11.565,13.257,-12.994,20.743,6.632,41.167,15,94,42,4,23,0
37,34,False,False,App State,11.548,13.053,-10.368,26.439,9.322,46.214,11,112,42,12,82,0
38,56,False,False,Texas Tech,11.484,12.402,-16.883,19.871,6.293,39.095,18,111,42,3,13,0
39,57,False,False,UCLA,10.945,10.528,4.513,19.628,3.873,41.667,20,64,42,5,13,0
40,39,False,False,Illinois,10.896,11.211,-7.47,34.159,7.22,45.071,2,117,42,4,50,0
41,36,False,False,Army,10.628,14.184,-27.744,26.716,11.924,48.571,9,138,42,8,60,0
42,64,False,False,Washington,9.358,8.939,-1.562,18.852,4.64,46.31,24,78,42,4,8,0
43,46,False,False,Louisiana,8.686,8.859,-5.76,28.959,6.939,53.738,6,109,42,4,36,0
44,51,False,False,Virginia,8.352,9.54,-14.041,24.53,6.809,49.19,15,100,42,3,21,0
45,35,False,False,Ole Miss,8.13,8.605,-9.578,20.05,6.401,50.381,14,102,42,8,82,0
46,53,False,False,Purdue,7.795,7.37,-4.829,22.349,4.912,52.095,10,82,42,2,17,0
47,72,False,False,Iowa State,7.291,9.025,-5.413,14.323,4.882,55.524,28,104,42,0,0,0
48,65,False,False,Georgia Southern,7.23,8.613,-14.669,22.922,7.639,56.857,21,132,42,1,5,0
49,69,False,False,Vanderbilt,6.777,6.888,-10.2,14.966,4.321,55.048,25,91,42,1,1,0
50,61,False,False,Georgia State,6.708,6.657,-21.436,22.508,8.833,59.786,19,116,42,2,11,0
51,60,False,False,Arkansas,6.669,6.601,-4.049,14.483,4.064,54.143,20,87,42,2,11,0
52,55,False,False,Southern Miss,6.582,7.025,-31.845,25.209,10.735,58.762,13,137,42,2,14,0
53,48,False,False,Duke,6.573,5.531,-1.743,24.12,5.073,59.0,8,94,42,3,27,0
54,73,False,False,UTSA,6.389,10.594,-22.562,15.402,10.384,57.548,27,129,42,0,0,0
55,58,False,False,Kennesaw State,6.377,6.964,-5.955,25.732,6.722,61.119,13,133,42,1,13,0
56,66,False,False,Memphis,6.079,6.309,-1.492,16.132,3.179,58.452,21,80,42,1,5,0
57,67,False,False,Houston,5.987,5.036,0.676,16.507,3.388,58.833,22,81,42,1,4,0
58,38,False,False,Florida State,5.965,4.913,-7.306,27.194,6.082,56.786,7,97,42,6,52,0
59,74,False,False,SMU,5.742,7.51,-9.489,13.681,5.255,57.857,30,98,42,0,0,0
60,45,False,False,Rice,5.721,5.455,-12.547,22.942,6.487,61.762,12,114,42,3,37,0
61,76,False,False,Northwestern,5.596,5.422,-4.364,14.225,4.26,60.667,32,105,42,0,0,0
62,42,False,False,Michigan State,5.323,3.714,-0.483,26.328,5.81,62.714,3,83,42,3,45,0
63,75,False,False,North Carolina,5.205,5.129,-2.534,11.753,3.872,60.286,27,86,42,0,0,0
64,54,False,False,Delaware,5.043,5.927,-8.115,23.348,6.611,66.143,10,134,42,1,16,0
65,49,False,False,San Diego State,4.619,3.926,-13.477,22.528,6.739,66.762,12,131,42,2,27,0
66,59,False,False,Sacramento State,4.556,1.627,-7.768,20.851,8.342,69.571,17,118,42,2,12,0
67,52,False,False,South Florida,4.354,4.234,-3.05,31.234,6.098,66.214,6,100,42,1,20,0
68,62,False,False,Wake Forest,4.077,4.139,-12.677,15.37,5.096,64.405,17,99,42,1,9,0
69,44,False,False,Auburn,3.711,2.854,-4.396,13.377,5.152,63.929,17,89,42,6,39,0
70,43,False,False,Georgia Tech,3.43,3.419,-7.449,26.815,6.176,65.833,8,101,42,3,40,0
71,77,False,False,Nevada,3.296,1.647,-6.084,15.216,5.469,71.667,37,118,42,0,0,0
72,63,False,False,Temple,3.216,3.754,-11.279,22.885,5.681,69.738,17,109,42,1,9,0
