model_name,fingerprint,model_family,model_label,predicted_home_win_probability,observed_home_win_rate,games,total_model_games
scientific_F0_M1,F0,linear,F0/M1 linear,0.4551754542792821,0.3870967741935484,31,153
scientific_F0_M1,F0,linear,F0/M1 linear,0.5417453375217305,0.5333333333333333,30,153
scientific_F0_M1,F0,linear,F0/M1 linear,0.5973985617982502,0.8064516129032258,31,153
scientific_F0_M1,F0,linear,F0/M1 linear,0.6743014131373556,0.9666666666666667,30,153
scientific_F0_M1,F0,linear,F0/M1 linear,0.7808018423473062,1.0,31,153
scientific_F0_M10,F0,knn,F0/M10 knn,0.31336953276923163,0.4838709677419355,31,153
scientific_F0_M10,F0,knn,F0/M10 knn,0.4898042473351353,0.6333333333333333,30,153
scientific_F0_M10,F0,knn,F0/M10 knn,0.6167842520554716,0.7096774193548387,31,153
scientific_F0_M10,F0,knn,F0/M10 knn,0.7353506450990402,0.9,30,153
scientific_F0_M10,F0,knn,F0/M10 knn,0.8696436128984126,0.967741935483871,31,153
scientific_F0_M2,F0,spline,F0/M2 spline,0.4526765387206432,0.3870967741935484,31,153
scientific_F0_M2,F0,spline,F0/M2 spline,0.5372755838183976,0.5333333333333333,30,153
scientific_F0_M2,F0,spline,F0/M2 spline,0.5958693273312048,0.8064516129032258,31,153
scientific_F0_M2,F0,spline,F0/M2 spline,0.6804369381992358,0.9666666666666667,30,153
scientific_F0_M2,F0,spline,F0/M2 spline,0.7992521180107778,1.0,31,153
scientific_F0_M3,F0,tree,F0/M3 tree,0.3164301478469539,0.5161290322580645,31,153
scientific_F0_M3,F0,tree,F0/M3 tree,0.48264804204431216,0.4666666666666667,30,153
scientific_F0_M3,F0,tree,F0/M3 tree,0.5891513589834475,0.8709677419354839,31,153
scientific_F0_M3,F0,tree,F0/M3 tree,0.7259079151133899,0.8666666666666667,30,153
scientific_F0_M3,F0,tree,F0/M3 tree,0.8495005157437282,0.967741935483871,31,153
scientific_F0_M4,F0,boosted,F0/M4 boosted,0.43836262134887355,0.2903225806451613,31,153
scientific_F0_M4,F0,boosted,F0/M4 boosted,0.52268052464369,0.7,30,153
scientific_F0_M4,F0,boosted,F0/M4 boosted,0.5839217195648488,0.75,32,153
scientific_F0_M4,F0,boosted,F0/M4 boosted,0.6914581974505516,0.9696969696969697,33,153
scientific_F0_M4,F0,boosted,F0/M4 boosted,0.7977838387285147,1.0,27,153
scientific_F0_M5,F0,neural,F0/M5 neural,0.4443475639138606,0.3870967741935484,31,153
scientific_F0_M5,F0,neural,F0/M5 neural,0.5257770825342156,0.5333333333333333,30,153
scientific_F0_M5,F0,neural,F0/M5 neural,0.6107759409593569,0.8064516129032258,31,153
scientific_F0_M5,F0,neural,F0/M5 neural,0.7123368025750215,0.9666666666666667,30,153
scientific_F0_M5,F0,neural,F0/M5 neural,0.7595188639844614,1.0,31,153
scientific_F1_M1,F1,linear,F1/M1 linear,0.2533901302375383,0.5806451612903226,31,153
scientific_F1_M1,F1,linear,F1/M1 linear,0.485001892369321,0.5333333333333333,30,153
scientific_F1_M1,F1,linear,F1/M1 linear,0.6119697228352967,0.7419354838709677,31,153
scientific_F1_M1,F1,linear,F1/M1 linear,0.7287910561505082,0.9,30,153
scientific_F1_M1,F1,linear,F1/M1 linear,0.8555270867830371,0.9354838709677419,31,153
scientific_F1_M10,F1,knn,F1/M10 knn,0.32207517547090847,0.5161290322580645,31,153
scientific_F1_M10,F1,knn,F1/M10 knn,0.4826019006019655,0.6333333333333333,30,153
scientific_F1_M10,F1,knn,F1/M10 knn,0.6105443946746848,0.8387096774193549,31,153
scientific_F1_M10,F1,knn,F1/M10 knn,0.7168505382100122,0.8,30,153
scientific_F1_M10,F1,knn,F1/M10 knn,0.8245125242294473,0.9032258064516129,31,153
scientific_F1_M2,F1,spline,F1/M2 spline,0.29118183059071084,0.5161290322580645,31,153
scientific_F1_M2,F1,spline,F1/M2 spline,0.4693845804403811,0.6333333333333333,30,153
scientific_F1_M2,F1,spline,F1/M2 spline,0.6027142277023476,0.7096774193548387,31,153
scientific_F1_M2,F1,spline,F1/M2 spline,0.7365539020718419,0.9,30,153
scientific_F1_M2,F1,spline,F1/M2 spline,0.8608982923258817,0.9354838709677419,31,153
scientific_F1_M3,F1,tree,F1/M3 tree,0.30719908304014976,0.4838709677419355,31,153
scientific_F1_M3,F1,tree,F1/M3 tree,0.49834391995481403,0.6,30,153
scientific_F1_M3,F1,tree,F1/M3 tree,0.6282631795349302,0.7419354838709677,31,153
scientific_F1_M3,F1,tree,F1/M3 tree,0.7385311503732123,0.9333333333333333,30,153
scientific_F1_M3,F1,tree,F1/M3 tree,0.8417612315809728,0.9354838709677419,31,153
scientific_F1_M4,F1,boosted,F1/M4 boosted,0.32422676314832577,0.5161290322580645,31,153
scientific_F1_M4,F1,boosted,F1/M4 boosted,0.5025263588954239,0.6333333333333333,30,153
scientific_F1_M4,F1,boosted,F1/M4 boosted,0.6153298885133327,0.7096774193548387,31,153
scientific_F1_M4,F1,boosted,F1/M4 boosted,0.7350508394877945,0.8666666666666667,30,153
scientific_F1_M4,F1,boosted,F1/M4 boosted,0.8343654706024202,0.967741935483871,31,153
scientific_F1_M5,F1,neural,F1/M5 neural,0.28553311115002056,0.45161290322580644,31,153
scientific_F1_M5,F1,neural,F1/M5 neural,0.4650483362273408,0.6666666666666666,30,153
scientific_F1_M5,F1,neural,F1/M5 neural,0.6251876828260359,0.7419354838709677,31,153
scientific_F1_M5,F1,neural,F1/M5 neural,0.7604020887034032,0.9,30,153
scientific_F1_M5,F1,neural,F1/M5 neural,0.8576909135525352,0.9354838709677419,31,153
scientific_F2_M1,F2,linear,F2/M1 linear,0.24755899456362215,0.5483870967741935,31,153
scientific_F2_M1,F2,linear,F2/M1 linear,0.5026741976585444,0.5666666666666667,30,153
scientific_F2_M1,F2,linear,F2/M1 linear,0.6244171471933958,0.8064516129032258,31,153
scientific_F2_M1,F2,linear,F2/M1 linear,0.74128472810235,0.8666666666666667,30,153
scientific_F2_M1,F2,linear,F2/M1 linear,0.8565554821424693,0.9032258064516129,31,153
scientific_F2_M10,F2,knn,F2/M10 knn,0.2822183774926036,0.6451612903225806,31,153
scientific_F2_M10,F2,knn,F2/M10 knn,0.46246341887795545,0.6666666666666666,30,153
scientific_F2_M10,F2,knn,F2/M10 knn,0.6070066992423965,0.6129032258064516,31,153
scientific_F2_M10,F2,knn,F2/M10 knn,0.7242033859178957,0.9333333333333333,30,153
scientific_F2_M10,F2,knn,F2/M10 knn,0.8449124481466237,0.8387096774193549,31,153
scientific_F2_M2,F2,spline,F2/M2 spline,0.310562391134841,0.5483870967741935,31,153
scientific_F2_M2,F2,spline,F2/M2 spline,0.5178042385196547,0.6,30,153
scientific_F2_M2,F2,spline,F2/M2 spline,0.6260998330989321,0.7096774193548387,31,153
scientific_F2_M2,F2,spline,F2/M2 spline,0.7357392914245258,0.9333333333333333,30,153
scientific_F2_M2,F2,spline,F2/M2 spline,0.8523817010583069,0.9032258064516129,31,153
scientific_F2_M3,F2,tree,F2/M3 tree,0.3343663466734224,0.5806451612903226,31,153
scientific_F2_M3,F2,tree,F2/M3 tree,0.5067722299970494,0.6333333333333333,30,153
scientific_F2_M3,F2,tree,F2/M3 tree,0.6379266990067891,0.6774193548387096,31,153
scientific_F2_M3,F2,tree,F2/M3 tree,0.7138882419947526,0.9,30,153
scientific_F2_M3,F2,tree,F2/M3 tree,0.8293391045939809,0.9032258064516129,31,153
scientific_F2_M4,F2,boosted,F2/M4 boosted,0.3497464187264765,0.45161290322580644,31,153
scientific_F2_M4,F2,boosted,F2/M4 boosted,0.5214219217106906,0.6333333333333333,30,153
scientific_F2_M4,F2,boosted,F2/M4 boosted,0.6368889078787939,0.7419354838709677,31,153
scientific_F2_M4,F2,boosted,F2/M4 boosted,0.7331697730627749,0.9333333333333333,30,153
scientific_F2_M4,F2,boosted,F2/M4 boosted,0.8316226313969285,0.9354838709677419,31,153
scientific_F2_M5,F2,neural,F2/M5 neural,0.24496978776474818,0.5806451612903226,31,153
scientific_F2_M5,F2,neural,F2/M5 neural,0.5121173309541038,0.7,30,153
scientific_F2_M5,F2,neural,F2/M5 neural,0.658318559776371,0.6774193548387096,31,153
scientific_F2_M5,F2,neural,F2/M5 neural,0.7543899567620648,0.8666666666666667,30,153
scientific_F2_M5,F2,neural,F2/M5 neural,0.8728940529690834,0.8709677419354839,31,153
scientific_F3_M1,F3,linear,F3/M1 linear,0.2984099672145709,0.5161290322580645,31,153
scientific_F3_M1,F3,linear,F3/M1 linear,0.5048748148273503,0.6666666666666666,30,153
scientific_F3_M1,F3,linear,F3/M1 linear,0.608697163285011,0.7741935483870968,31,153
scientific_F3_M1,F3,linear,F3/M1 linear,0.6997749831715939,0.8333333333333334,30,153
scientific_F3_M1,F3,linear,F3/M1 linear,0.8269072225721981,0.9032258064516129,31,153
scientific_F3_M10,F3,knn,F3/M10 knn,0.3031390631904573,0.6129032258064516,31,153
scientific_F3_M10,F3,knn,F3/M10 knn,0.48254319012923613,0.6,30,153
scientific_F3_M10,F3,knn,F3/M10 knn,0.5939695012967463,0.7096774193548387,31,153
scientific_F3_M10,F3,knn,F3/M10 knn,0.7030780092029967,0.9,30,153
scientific_F3_M10,F3,knn,F3/M10 knn,0.8225329744491611,0.8709677419354839,31,153
scientific_F3_M2,F3,spline,F3/M2 spline,0.3227417768765935,0.5161290322580645,31,153
scientific_F3_M2,F3,spline,F3/M2 spline,0.5110953887796584,0.5333333333333333,30,153
scientific_F3_M2,F3,spline,F3/M2 spline,0.6086490356991722,0.7741935483870968,31,153
scientific_F3_M2,F3,spline,F3/M2 spline,0.6999759653694186,0.9333333333333333,30,153
scientific_F3_M2,F3,spline,F3/M2 spline,0.8198211908876734,0.9354838709677419,31,153
scientific_F3_M3,F3,tree,F3/M3 tree,0.3336387325876888,0.4838709677419355,31,153
scientific_F3_M3,F3,tree,F3/M3 tree,0.518661440236295,0.6666666666666666,30,153
scientific_F3_M3,F3,tree,F3/M3 tree,0.6454841702243395,0.7096774193548387,31,153
scientific_F3_M3,F3,tree,F3/M3 tree,0.7254947658523211,0.9333333333333333,30,153
scientific_F3_M3,F3,tree,F3/M3 tree,0.8274972016687369,0.9032258064516129,31,153
scientific_F3_M4,F3,boosted,F3/M4 boosted,0.33284108871555035,0.45161290322580644,31,153
scientific_F3_M4,F3,boosted,F3/M4 boosted,0.5264337587472662,0.6,30,153
scientific_F3_M4,F3,boosted,F3/M4 boosted,0.6354520244744913,0.7419354838709677,31,153
scientific_F3_M4,F3,boosted,F3/M4 boosted,0.7339490433925876,0.9666666666666667,30,153
scientific_F3_M4,F3,boosted,F3/M4 boosted,0.844110939712119,0.9354838709677419,31,153
scientific_F3_M5,F3,neural,F3/M5 neural,0.24112171256425446,0.45161290322580644,31,153
scientific_F3_M5,F3,neural,F3/M5 neural,0.4900784815099227,0.7,30,153
scientific_F3_M5,F3,neural,F3/M5 neural,0.6174105477957132,0.8709677419354839,31,153
scientific_F3_M5,F3,neural,F3/M5 neural,0.7200244429773913,0.8333333333333334,30,153
scientific_F3_M5,F3,neural,F3/M5 neural,0.8740433091344322,0.8387096774193549,31,153
scientific_F4_M1,F4,linear,F4/M1 linear,0.2883732878628796,0.45161290322580644,31,153
scientific_F4_M1,F4,linear,F4/M1 linear,0.5047584259419717,0.7,30,153
scientific_F4_M1,F4,linear,F4/M1 linear,0.6290025367970068,0.8064516129032258,31,153
scientific_F4_M1,F4,linear,F4/M1 linear,0.7144266988749303,0.8666666666666667,30,153
scientific_F4_M1,F4,linear,F4/M1 linear,0.8463115958286349,0.8709677419354839,31,153
scientific_F4_M10,F4,knn,F4/M10 knn,0.2969185185570174,0.5806451612903226,31,153
scientific_F4_M10,F4,knn,F4/M10 knn,0.490574505087556,0.6666666666666666,30,153
scientific_F4_M10,F4,knn,F4/M10 knn,0.6212300709413118,0.6129032258064516,31,153
scientific_F4_M10,F4,knn,F4/M10 knn,0.7298174610059637,0.9333333333333333,30,153
scientific_F4_M10,F4,knn,F4/M10 knn,0.8345544035238252,0.9032258064516129,31,153
scientific_F4_M2,F4,spline,F4/M2 spline,0.31051855332942335,0.45161290322580644,31,153
scientific_F4_M2,F4,spline,F4/M2 spline,0.5152528645100557,0.6333333333333333,30,153
scientific_F4_M2,F4,spline,F4/M2 spline,0.6168216542658865,0.7419354838709677,31,153
scientific_F4_M2,F4,spline,F4/M2 spline,0.7129027981773622,0.9333333333333333,30,153
scientific_F4_M2,F4,spline,F4/M2 spline,0.8410163271470869,0.9354838709677419,31,153
scientific_F4_M3,F4,tree,F4/M3 tree,0.3301716529181991,0.45161290322580644,31,153
scientific_F4_M3,F4,tree,F4/M3 tree,0.5218865207228981,0.7,30,153
scientific_F4_M3,F4,tree,F4/M3 tree,0.6414259178054172,0.6774193548387096,31,153
scientific_F4_M3,F4,tree,F4/M3 tree,0.7318446226766279,0.9333333333333333,30,153
scientific_F4_M3,F4,tree,F4/M3 tree,0.8307749249624375,0.9354838709677419,31,153
scientific_F4_M4,F4,boosted,F4/M4 boosted,0.33491986158418663,0.41935483870967744,31,153
scientific_F4_M4,F4,boosted,F4/M4 boosted,0.5321387588288743,0.7,30,153
scientific_F4_M4,F4,boosted,F4/M4 boosted,0.6494354850615142,0.7096774193548387,31,153
scientific_F4_M4,F4,boosted,F4/M4 boosted,0.7338216140935108,0.9333333333333333,30,153
scientific_F4_M4,F4,boosted,F4/M4 boosted,0.8419585798540631,0.9354838709677419,31,153
scientific_F4_M5,F4,neural,F4/M5 neural,0.2152134775598171,0.6451612903225806,31,153
scientific_F4_M5,F4,neural,F4/M5 neural,0.49247699007237716,0.7333333333333333,30,153
scientific_F4_M5,F4,neural,F4/M5 neural,0.6228616316222789,0.6774193548387096,31,153
scientific_F4_M5,F4,neural,F4/M5 neural,0.745110456071987,0.7666666666666667,30,153
scientific_F4_M5,F4,neural,F4/M5 neural,0.9024324095954008,0.8709677419354839,31,153
scientific_F5_M1,F5,linear,F5/M1 linear,0.15162712891253974,0.45161290322580644,31,153
scientific_F5_M1,F5,linear,F5/M1 linear,0.49933772964661305,0.6333333333333333,30,153
scientific_F5_M1,F5,linear,F5/M1 linear,0.7465238718472879,0.8709677419354839,31,153
scientific_F5_M1,F5,linear,F5/M1 linear,0.8778068034233996,0.8,30,153
scientific_F5_M1,F5,linear,F5/M1 linear,0.9718781920028062,0.9354838709677419,31,153
scientific_F5_M10,F5,knn,F5/M10 knn,0.4025784179366863,0.5806451612903226,31,153
scientific_F5_M10,F5,knn,F5/M10 knn,0.5147953519085007,0.6,30,153
scientific_F5_M10,F5,knn,F5/M10 knn,0.5701124551521796,0.6774193548387096,31,153
scientific_F5_M10,F5,knn,F5/M10 knn,0.640769843111805,0.9032258064516129,31,153
scientific_F5_M10,F5,knn,F5/M10 knn,0.7333274946960784,0.9333333333333333,30,153
scientific_F5_M2,F5,spline,F5/M2 spline,0.3769769617270672,0.45161290322580644,31,153
scientific_F5_M2,F5,spline,F5/M2 spline,0.5114358924030017,0.6,30,153
scientific_F5_M2,F5,spline,F5/M2 spline,0.5959348339535044,0.8064516129032258,31,153
scientific_F5_M2,F5,spline,F5/M2 spline,0.6588829272335291,0.9,30,153
scientific_F5_M2,F5,spline,F5/M2 spline,0.7492768443549318,0.9354838709677419,31,153
scientific_F5_M3,F5,tree,F5/M3 tree,0.3328511303977389,0.41935483870967744,31,153
scientific_F5_M3,F5,tree,F5/M3 tree,0.5173183685971532,0.6666666666666666,30,153
scientific_F5_M3,F5,tree,F5/M3 tree,0.6535159743439504,0.6774193548387096,31,153
scientific_F5_M3,F5,tree,F5/M3 tree,0.7411253934303961,0.9666666666666667,30,153
scientific_F5_M3,F5,tree,F5/M3 tree,0.841900502948572,0.967741935483871,31,153
scientific_F5_M4,F5,boosted,F5/M4 boosted,0.3313452529717681,0.3870967741935484,31,153
scientific_F5_M4,F5,boosted,F5/M4 boosted,0.5355190452632528,0.7333333333333333,30,153
scientific_F5_M4,F5,boosted,F5/M4 boosted,0.6529447208522091,0.6774193548387096,31,153
scientific_F5_M4,F5,boosted,F5/M4 boosted,0.7349970645959287,0.9333333333333333,30,153
scientific_F5_M4,F5,boosted,F5/M4 boosted,0.8454276946264999,0.967741935483871,31,153
scientific_F5_M5,F5,neural,F5/M5 neural,0.2389681228754687,0.5483870967741935,31,153
scientific_F5_M5,F5,neural,F5/M5 neural,0.49898007299119906,0.5333333333333333,30,153
scientific_F5_M5,F5,neural,F5/M5 neural,0.6882693614445389,0.8064516129032258,31,153
scientific_F5_M5,F5,neural,F5/M5 neural,0.7870704065620087,0.8333333333333334,30,153
scientific_F5_M5,F5,neural,F5/M5 neural,0.9079629160334142,0.967741935483871,31,153
scientific_F6_M1,F6,linear,F6/M1 linear,0.16621345038523405,0.4838709677419355,31,153
scientific_F6_M1,F6,linear,F6/M1 linear,0.5063478121524879,0.6,30,153
scientific_F6_M1,F6,linear,F6/M1 linear,0.7446770739292716,0.8387096774193549,31,153
scientific_F6_M1,F6,linear,F6/M1 linear,0.8713635912767936,0.8333333333333334,30,153
scientific_F6_M1,F6,linear,F6/M1 linear,0.9683961043360985,0.9354838709677419,31,153
scientific_F6_M10,F6,knn,F6/M10 knn,0.4032321352704897,0.5161290322580645,31,153
scientific_F6_M10,F6,knn,F6/M10 knn,0.5335596354723618,0.7333333333333333,30,153
scientific_F6_M10,F6,knn,F6/M10 knn,0.5849609784626649,0.6774193548387096,31,153
scientific_F6_M10,F6,knn,F6/M10 knn,0.6585601973756597,0.8333333333333334,30,153
