scorecard_rank,series_type,model_name,model_family,fingerprint,games,margin_games,margin_mae,su_wins,su_losses,su_accuracy,brier_games,brier_score,ats_wins,ats_losses,ats_pushes,ats_accuracy
13,consensus,Scientific consensus,consensus,F0–F6,153,153,14.566732026143791,113,40,0.738562091503268,153,0.17486762274509804,74,76,3,0.49333333333333335
1,vegas,Vegas closing-line baseline,market,evaluation-only,153,153,10.928104575163399,131,22,0.8562091503267973,142,0.12177081936222924,,,,0.5
2,model,scientific_F6_M4,boosted,F6,153,153,13.642407499408753,116,37,0.7581699346405228,153,0.1599760330150393,75,75,3,0.5
3,model,scientific_F0_M2,spline,F0,153,153,13.900142667777722,122,31,0.7973856209150327,153,0.16474996114803883,76,74,3,0.5066666666666667
4,model,scientific_F0_M4,boosted,F0,153,153,13.925713905810143,122,31,0.7973856209150327,153,0.16596527001428582,74,76,3,0.49333333333333335
5,model,scientific_F0_M5,neural,F0,153,153,14.032245178822599,120,33,0.7843137254901961,153,0.1634776379382343,78,72,3,0.52
6,model,scientific_F0_M1,linear,F0,153,153,14.120704207871123,122,31,0.7973856209150327,153,0.16685074116941,75,75,3,0.5
7,model,scientific_F6_M2,spline,F6,153,153,14.143060372264566,111,42,0.7254901960784313,153,0.18419039163729706,79,71,3,0.5266666666666666
8,model,scientific_F6_M3,tree,F6,153,153,14.166495142433567,109,44,0.7124183006535948,153,0.16926378935950584,71,79,3,0.47333333333333333
9,model,scientific_F5_M3,tree,F5,153,153,14.325593128414845,112,41,0.7320261437908496,153,0.167483359695682,69,81,3,0.46
10,model,scientific_F5_M4,boosted,F5,153,153,14.395903694955146,115,38,0.7516339869281046,153,0.1666774179835447,71,79,3,0.47333333333333333
11,model,scientific_F3_M4,boosted,F3,153,153,14.43472202217817,113,40,0.738562091503268,153,0.17015337462357352,73,77,3,0.4866666666666667
12,model,scientific_F4_M4,boosted,F4,153,153,14.481882019369152,112,41,0.7320261437908496,153,0.1706664658353742,67,83,3,0.44666666666666666
14,model,scientific_F5_M2,spline,F5,153,153,14.625726301298608,108,45,0.7058823529411765,153,0.18675912127247296,74,76,3,0.49333333333333335
15,model,scientific_F6_M10,knn,F6,153,153,14.677124183006535,111,42,0.7254901960784313,153,0.19353978942194802,72,78,3,0.48
16,model,scientific_F4_M2,spline,F4,153,153,14.730946531136256,114,39,0.7450980392156863,153,0.17411935838896514,77,73,3,0.5133333333333333
17,model,scientific_F6_M5,neural,F6,153,153,14.815751462980034,117,36,0.7647058823529411,153,0.17677507870831594,76,74,3,0.5066666666666667
18,model,scientific_F4_M3,tree,F4,153,153,14.871936494353047,110,43,0.7189542483660131,153,0.17689559944594235,68,82,3,0.4533333333333333
19,model,scientific_F3_M2,spline,F3,153,153,14.914523219308313,111,42,0.7254901960784313,153,0.17852882569443645,77,73,3,0.5133333333333333
20,model,scientific_F3_M3,tree,F3,153,153,14.918753971592446,110,43,0.7189542483660131,153,0.17789695915150006,71,79,3,0.47333333333333333
21,model,scientific_F5_M10,knn,F5,153,153,14.963888888888889,104,49,0.6797385620915033,153,0.20026014665772698,71,78,3,0.47651006711409394
22,model,scientific_F2_M4,boosted,F2,153,153,15.127406941407603,111,42,0.7254901960784313,153,0.17885950046785656,69,81,3,0.46
23,model,scientific_F6_M1,linear,F6,153,153,15.194177887190577,111,42,0.7254901960784313,153,0.18756646136525554,73,77,3,0.4866666666666667
24,model,scientific_F0_M10,knn,F0,153,153,15.242615849475989,115,38,0.7516339869281046,153,0.17962342494528338,85,65,3,0.5666666666666667
25,model,scientific_F5_M1,linear,F5,153,153,15.40047731977927,111,42,0.7254901960784313,153,0.19255096087077653,69,81,3,0.46
26,model,scientific_F1_M4,boosted,F1,153,153,15.407014125398321,115,38,0.7516339869281046,153,0.17949076780204287,68,82,3,0.4533333333333333
27,model,scientific_F1_M3,tree,F1,153,153,15.476872767049628,111,42,0.7254901960784313,153,0.17968048013142565,70,80,3,0.4666666666666667
28,model,scientific_F4_M1,linear,F4,153,153,15.519118428226149,111,42,0.7254901960784313,153,0.1894648497046893,74,76,3,0.49333333333333335
29,model,scientific_F2_M2,spline,F2,153,153,15.55539306646207,109,44,0.7124183006535948,153,0.18818785934729054,69,81,3,0.46
30,model,scientific_F3_M1,linear,F3,153,153,15.595174025532721,113,40,0.738562091503268,153,0.192784167100201,74,76,3,0.49333333333333335
31,model,scientific_F0_M3,tree,F0,153,153,15.623392297789026,113,40,0.738562091503268,153,0.18326648545766744,84,66,3,0.56
32,model,scientific_F1_M2,spline,F1,153,153,15.872674004900677,109,44,0.7124183006535948,153,0.18949561513084298,70,80,3,0.4666666666666667
33,model,scientific_F1_M5,neural,F1,153,153,15.900400001993951,109,44,0.7124183006535948,153,0.18289516332155512,71,79,3,0.47333333333333333
34,model,scientific_F2_M3,tree,F2,153,153,16.1989202078315,104,49,0.6797385620915033,153,0.19583748201243914,65,85,3,0.43333333333333335
35,model,scientific_F4_M10,knn,F4,153,153,16.308164797231814,102,51,0.6666666666666666,153,0.2037817083755353,73,77,3,0.4866666666666667
36,model,scientific_F2_M1,linear,F2,153,153,16.347645583652202,112,41,0.7320261437908496,153,0.19885942993696507,69,81,3,0.46
37,model,scientific_F5_M5,neural,F5,153,153,16.348135223186095,109,44,0.7124183006535948,153,0.19293054404709636,83,67,3,0.5533333333333333
38,model,scientific_F1_M10,knn,F1,153,153,16.427442172464133,103,50,0.673202614379085,153,0.20265182741879756,68,82,3,0.4533333333333333
39,model,scientific_F1_M1,linear,F1,153,153,16.453273523690928,111,42,0.7254901960784313,153,0.19725677722174115,68,82,3,0.4533333333333333
40,model,scientific_F3_M10,knn,F3,153,153,16.538017685221277,101,52,0.6601307189542484,153,0.2091762062941817,74,76,3,0.49333333333333335
41,model,scientific_F3_M5,neural,F3,153,153,17.596694328426537,108,45,0.7058823529411765,153,0.19985055014236122,73,77,3,0.4866666666666667
42,model,scientific_F2_M5,neural,F2,153,153,17.656506426583707,106,47,0.6928104575163399,153,0.2097264666837254,75,75,3,0.5
43,model,scientific_F2_M10,knn,F2,153,153,18.10649037724322,91,62,0.5947712418300654,153,0.2172222294673991,70,80,3,0.4666666666666667
44,model,scientific_F4_M5,neural,F4,153,153,18.41898641282437,100,53,0.6535947712418301,153,0.23025352288176926,76,74,3,0.5066666666666667
