poll_objective,keys_team,ballot_model,power_rating_vs_average,ballot_rank,poll_points,top25_vote,first_place_vote,model_id,model_level,model_family,objective,feature_config,fingerprint,checkpoint_sha256,training_end_season,selected_feature_count,calibration_status,calibrator_sha256
all,Georgia,scientific_f0_m1,18.4423287452887,1,25,True,True,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Texas,scientific_f0_m1,17.589858223940382,2,24,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Oregon,scientific_f0_m1,17.551151454322408,3,23,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Alabama,scientific_f0_m1,17.053492987805548,4,22,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Ohio State,scientific_f0_m1,16.626796932254983,5,21,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Notre Dame,scientific_f0_m1,16.108863491176326,6,20,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Texas A&M,scientific_f0_m1,15.185891353738118,7,19,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,LSU,scientific_f0_m1,15.12875278906396,8,18,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,USC,scientific_f0_m1,13.619188773962826,9,17,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Florida,scientific_f0_m1,13.25377843697406,10,16,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Michigan,scientific_f0_m1,13.205394974951584,11,15,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Miami,scientific_f0_m1,13.017390665378551,12,14,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Tennessee,scientific_f0_m1,13.01554748587293,13,13,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Ole Miss,scientific_f0_m1,13.007253178097653,14,12,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,South Carolina,scientific_f0_m1,11.95433688551337,15,11,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Clemson,scientific_f0_m1,11.953415295760564,16,10,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Oklahoma,scientific_f0_m1,11.413824495490896,17,9,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Florida State,scientific_f0_m1,10.533584920247204,18,8,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Auburn,scientific_f0_m1,10.356300254142576,19,7,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
