consensus_phase,consensus_roster,consensus_reader_week,consensus_provider_week,game_id,consensus_kickoff_eastern,away_team,home_team,model_name,model_family,fingerprint,pred_home_margin,pred_home_win_probability,pred_winner,model_predicted_winner_margin,model_against_spread_pick,model_edge_vs_spread_points,consensus_straight_up_pick,consensus_predicted_winner_margin,consensus_against_spread_pick,consensus_model_edge_vs_spread_points,season,week,game_start_time_utc,neutral_site,conference_game,season_type,market_spread_close,keys_season,next_week,next_game_id,objective,checkpoint_path,checkpoint_sha256,roster_rank,preseason_performance_rank,confidence,created_at_utc,consensus_predicted_home_win_probability,consensus_home_team_market_spread,consensus_against_spread_team,consensus_against_spread_line,consensus_model_agreement,consensus_scientific_model_count,model_against_spread_team,model_against_spread_line,home_points,away_points,actual_home_margin,actual_winner,model_winner_correct,model_absolute_margin_error,actual_against_spread_winner,model_ats_result,consensus_ats_result
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M1,linear,F0,0.0020812072665572,0.5000371644154058,Pittsburgh,0.002,Syracuse +10,9.998,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M1/checkpoint.pkl,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,1,1,7.432883081159858e-05,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,True,13.997918792733444,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M10,knn,F0,-8.143568304510698,0.35854532382844,Syracuse,8.144,Syracuse +10,18.144,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M10/checkpoint.pkl,b72148b78493a060d1e5be6746b97d7061aabc8de152a7dbd2609c57c966e170,6,6,0.28290935234312,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,22.143568304510698,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M2,spline,F0,-0.2796819413759905,0.4950058457110071,Syracuse,0.28,Syracuse +10,10.28,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M2/checkpoint.pkl,faa0aa500ef3a49204415f776e055580b8b2192d373428f5c322465c4b6b53a5,2,2,0.0099883085779858,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,14.27968194137599,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M3,tree,F0,-11.278311251263672,0.3088302538555332,Syracuse,11.278,Syracuse +10,21.278,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M3/checkpoint.pkl,358ba183dfb2490fa300be4658b19950aed0049b8ea4fce0bdd7cd13ceb41d21,3,3,0.3823394922889336,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,25.278311251263673,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M4,boosted,F0,-1.4611866007008676,0.473931042355695,Syracuse,1.461,Syracuse +10,11.461,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M4/checkpoint.pkl,536856580617cdb0017463eadedb4239f7f52f3b6e217f92307fc64664dda481,4,4,0.05213791528861,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,15.461186600700868,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F0_M5,neural,F0,-1.728857159614563,0.4691667240269925,Syracuse,1.729,Syracuse +10,11.729,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M5/checkpoint.pkl,b5c22a3c584ee4be901802a4cd0a8d35a35b0464f5fefaac5132089a925dc1af,5,5,0.0616665519460148,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,15.728857159614563,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F1_M1,linear,F1,3.0217725630021524,0.5537517073115179,Pittsburgh,3.022,Syracuse +10,6.978,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M1/checkpoint.pkl,de123537a22f9ab809539f81b9b90e376311fd3703d871f3eebb0d5a5a6b0167,7,7,0.1075034146230358,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,True,10.978227436997848,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F1_M10,knn,F1,-4.915751493302712,0.4131096122625044,Syracuse,4.916,Syracuse +10,14.916,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M10/checkpoint.pkl,3d72b6bd97123eaa76a67c2debf38d1b23388a3605a981b3b121263f2c1deed8,12,12,0.1737807754749911,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,18.91575149330271,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F1_M2,spline,F1,0.7697523391576917,0.5137421157290807,Pittsburgh,0.77,Syracuse +10,9.23,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M2/checkpoint.pkl,dd67d778cca7ecca58d04c1c2f81380cf31f9dc37912ed12f772336ea65440b5,8,8,0.0274842314581613,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,True,13.23024766084231,Pittsburgh,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),3,3,401858225,Thu 7:30 PM,Syracuse,Pittsburgh,scientific_F1_M3,tree,F1,-1.2171753968253969,0.4782784056838029,Syracuse,1.217,Syracuse +10,11.217,Pittsburgh,4.68,Syracuse +10,5.32,2026,3,2026-09-17T23:30:00.000Z,False,True,regular,-10.0,2026,3,401858225,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M3/checkpoint.pkl,074942f55a18152490c8f5fbb362670a65f282e328e391b3fbde67b83fe800f6,9,9,0.0434431886323941,2026-09-13T18:53:18.097085+00:00,0.5793,-10.0,Syracuse,10.0,0.7143,42,Syracuse,10.0,27.0,13.0,14.0,Pittsburgh,False,15.217175396825397,Pittsburgh,Loss,Loss
