scope,through_week,series_type,model_name,model_family,fingerprint,games,margin_games,margin_mae,su_wins,su_losses,su_accuracy,brier_games,brier_score,ats_wins,ats_losses,ats_pushes,ats_accuracy
cumulative,0,consensus,Scientific consensus,consensus,F0–F6,8,8,12.648750000000001,5,3,0.625,8,0.20519212375,4,4,0,0.5
cumulative,0,model,scientific_F0_M1,linear,F0,8,8,10.057889959816688,5,3,0.625,8,0.18644137031882158,4,4,0,0.5
cumulative,0,model,scientific_F0_M10,knn,F0,8,8,11.450725585314798,7,1,0.875,8,0.1667736802950074,6,2,0,0.75
cumulative,0,model,scientific_F0_M2,spline,F0,8,8,10.612513782151067,5,3,0.625,8,0.1844113121789424,4,4,0,0.5
cumulative,0,model,scientific_F0_M3,tree,F0,8,8,10.391322581885774,6,2,0.75,8,0.1731396748597015,5,3,0,0.625
cumulative,0,model,scientific_F0_M4,boosted,F0,8,8,10.966700632948465,4,4,0.5,8,0.18964078186694652,4,4,0,0.5
cumulative,0,model,scientific_F0_M5,neural,F0,8,8,10.278090137988329,4,4,0.5,8,0.1913153171647308,4,4,0,0.5
cumulative,0,model,scientific_F1_M1,linear,F1,8,8,12.915933215045103,4,4,0.5,8,0.20143590334815067,5,3,0,0.625
cumulative,0,model,scientific_F1_M10,knn,F1,8,8,12.038306547964098,5,3,0.625,8,0.2159192680838382,3,5,0,0.375
cumulative,0,model,scientific_F1_M2,spline,F1,8,8,13.777254206236327,5,3,0.625,8,0.20750441041561274,5,3,0,0.625
cumulative,0,model,scientific_F1_M3,tree,F1,8,8,13.276650160742221,4,4,0.5,8,0.2049907149570484,5,3,0,0.625
cumulative,0,model,scientific_F1_M4,boosted,F1,8,8,13.018057632598406,5,3,0.625,8,0.19991047262641526,5,3,0,0.625
cumulative,0,model,scientific_F1_M5,neural,F1,8,8,13.351734220981598,5,3,0.625,8,0.21268268934017293,4,4,0,0.5
cumulative,0,model,scientific_F2_M1,linear,F2,8,8,13.038852049532755,5,3,0.625,8,0.19580122706125594,5,3,0,0.625
cumulative,0,model,scientific_F2_M10,knn,F2,8,8,12.002439591638055,3,5,0.375,8,0.2190642139384742,5,3,0,0.625
cumulative,0,model,scientific_F2_M2,spline,F2,8,8,14.082530443831843,5,3,0.625,8,0.20131544006634536,5,3,0,0.625
cumulative,0,model,scientific_F2_M3,tree,F2,8,8,13.081397761098827,4,4,0.5,8,0.2142805077530326,4,4,0,0.5
cumulative,0,model,scientific_F2_M4,boosted,F2,8,8,13.246675093739938,6,2,0.75,8,0.2018774899093923,5,3,0,0.625
cumulative,0,model,scientific_F2_M5,neural,F2,8,8,13.618756979703903,5,3,0.625,8,0.20792164337785257,5,3,0,0.625
cumulative,0,model,scientific_F3_M1,linear,F3,8,8,12.557522412771709,5,3,0.625,8,0.20676867748174566,4,4,0,0.5
cumulative,0,model,scientific_F3_M10,knn,F3,8,8,12.42396082783166,5,3,0.625,8,0.21482137463732312,4,4,0,0.5
cumulative,0,model,scientific_F3_M2,spline,F3,8,8,12.992422448270418,4,4,0.5,8,0.20581876370689725,5,3,0,0.625
cumulative,0,model,scientific_F3_M3,tree,F3,8,8,12.2308136658061,5,3,0.625,8,0.20867588831747075,5,3,0,0.625
cumulative,0,model,scientific_F3_M4,boosted,F3,8,8,13.002530232608011,4,4,0.5,8,0.20355079278722993,4,4,0,0.5
cumulative,0,model,scientific_F3_M5,neural,F3,8,8,11.349192261695862,7,1,0.875,8,0.1715012007467045,4,4,0,0.5
cumulative,0,model,scientific_F4_M1,linear,F4,8,8,14.5309134672337,4,4,0.5,8,0.21727808432107998,3,5,0,0.375
cumulative,0,model,scientific_F4_M10,knn,F4,8,8,13.461319941894859,4,4,0.5,8,0.2608958190247636,4,4,0,0.5
cumulative,0,model,scientific_F4_M2,spline,F4,8,8,14.354188619682937,4,4,0.5,8,0.20532516021362052,4,4,0,0.5
cumulative,0,model,scientific_F4_M3,tree,F4,8,8,13.187851834316067,4,4,0.5,8,0.2227804060027581,4,4,0,0.5
cumulative,0,model,scientific_F4_M4,boosted,F4,8,8,14.523729444165632,4,4,0.5,8,0.2291848562075549,4,4,0,0.5
cumulative,0,model,scientific_F4_M5,neural,F4,8,8,14.39005771279335,4,4,0.5,8,0.2041030594017999,4,4,0,0.5
cumulative,0,model,scientific_F5_M1,linear,F5,8,8,14.593436125032804,4,4,0.5,8,0.2741884725895415,3,5,0,0.375
cumulative,0,model,scientific_F5_M10,knn,F5,8,8,12.459375000000001,4,4,0.5,8,0.2278862093248058,4,4,0,0.5
cumulative,0,model,scientific_F5_M2,spline,F5,8,8,13.23615445602751,4,4,0.5,8,0.2212359230631465,3,5,0,0.375
cumulative,0,model,scientific_F5_M3,tree,F5,8,8,14.10047508865304,4,4,0.5,8,0.23032068704118996,4,4,0,0.5
cumulative,0,model,scientific_F5_M4,boosted,F5,8,8,14.44891188316985,4,4,0.5,8,0.22610024256379396,4,4,0,0.5
cumulative,0,model,scientific_F5_M5,neural,F5,8,8,13.566666930913925,5,3,0.625,8,0.22202241271111192,5,3,0,0.625
cumulative,0,model,scientific_F6_M1,linear,F6,8,8,14.818926610003935,4,4,0.5,8,0.26277754743328363,3,5,0,0.375
cumulative,0,model,scientific_F6_M10,knn,F6,8,8,11.615625000000001,5,3,0.625,8,0.22414784874115,3,5,0,0.375
cumulative,0,model,scientific_F6_M2,spline,F6,8,8,14.231837798247149,5,3,0.625,8,0.22120884755714726,2,6,0,0.25
cumulative,0,model,scientific_F6_M3,tree,F6,8,8,13.237512632299538,4,4,0.5,8,0.22669747910943583,3,5,0,0.375
cumulative,0,model,scientific_F6_M4,boosted,F6,8,8,13.8662399168573,3,5,0.375,8,0.22529218600841255,3,5,0,0.375
cumulative,0,model,scientific_F6_M5,neural,F6,8,8,8.617566555738449,7,1,0.875,8,0.15439834293385654,7,1,0,0.875
cumulative,0,vegas,Vegas closing-line baseline,market,evaluation-only,8,8,13.75,6,2,0.75,8,0.16600975609801072,,,,0.5
cumulative,1,consensus,Scientific consensus,consensus,F0–F6,47,47,17.798510638297873,39,8,0.8297872340425532,47,0.14372398297872338,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F0_M1,linear,F0,47,47,17.438838778265122,41,6,0.8723404255319149,47,0.1414526391138477,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F0_M10,knn,F0,47,47,16.86270691934838,39,8,0.8297872340425532,47,0.15095196595088636,21,25,1,0.45652173913043476
cumulative,1,model,scientific_F0_M2,spline,F0,47,47,17.220332554949145,41,6,0.8723404255319149,47,0.13848564785647974,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F0_M3,tree,F0,47,47,17.710472138400803,37,10,0.7872340425531915,47,0.16132301605538907,21,25,1,0.45652173913043476
cumulative,1,model,scientific_F0_M4,boosted,F0,47,47,17.62456051560811,37,10,0.7872340425531915,47,0.14384672988582425,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F0_M5,neural,F0,47,47,17.65867352549066,37,10,0.7872340425531915,47,0.1392306467578651,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F1_M1,linear,F1,47,47,17.528276935700163,38,9,0.8085106382978723,47,0.1392251948035097,18,28,1,0.391304347826087
cumulative,1,model,scientific_F1_M10,knn,F1,47,47,19.37868934948675,35,12,0.7446808510638298,47,0.1682326045925641,13,33,1,0.2826086956521739
cumulative,1,model,scientific_F1_M2,spline,F1,47,47,17.690450721613292,39,8,0.8297872340425532,47,0.1418732580014878,18,28,1,0.391304347826087
cumulative,1,model,scientific_F1_M3,tree,F1,47,47,18.15930243393052,38,9,0.8085106382978723,47,0.14072793104960574,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F1_M4,boosted,F1,47,47,17.656941780288214,40,7,0.851063829787234,47,0.13623422966675636,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F1_M5,neural,F1,47,47,18.203715458829354,37,10,0.7872340425531915,47,0.1379580978321337,14,32,1,0.30434782608695654
cumulative,1,model,scientific_F2_M1,linear,F2,47,47,18.253504778204363,39,8,0.8297872340425532,47,0.1435612025054228,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F2_M10,knn,F2,47,47,20.201213136974776,32,15,0.6808510638297872,47,0.1674110183203437,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F2_M2,spline,F2,47,47,18.58848119342839,38,9,0.8085106382978723,47,0.14640784688745817,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F2_M3,tree,F2,47,47,18.838047463088476,34,13,0.723404255319149,47,0.15264191002845318,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F2_M4,boosted,F2,47,47,18.268944849722192,40,7,0.851063829787234,47,0.14068619258046286,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F2_M5,neural,F2,47,47,19.143774854375962,37,10,0.7872340425531915,47,0.15380498350926716,19,27,1,0.41304347826086957
cumulative,1,model,scientific_F3_M1,linear,F3,47,47,19.468983477254508,40,7,0.851063829787234,47,0.1659151547238484,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F3_M10,knn,F3,47,47,18.75023250124641,36,11,0.7659574468085106,47,0.16905628354570867,22,24,1,0.4782608695652174
cumulative,1,model,scientific_F3_M2,spline,F3,47,47,18.659324536803148,38,9,0.8085106382978723,47,0.147041389480916,19,27,1,0.41304347826086957
cumulative,1,model,scientific_F3_M3,tree,F3,47,47,18.17703385412456,38,9,0.8085106382978723,47,0.14774902227563536,19,27,1,0.41304347826086957
cumulative,1,model,scientific_F3_M4,boosted,F3,47,47,17.736511876690294,38,9,0.8085106382978723,47,0.13775916320186257,18,28,1,0.391304347826087
cumulative,1,model,scientific_F3_M5,neural,F3,47,47,19.83806227876785,36,11,0.7659574468085106,47,0.1756744013214369,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F4_M1,linear,F4,47,47,19.2258695328232,38,9,0.8085106382978723,47,0.16379747022194305,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F4_M10,knn,F4,47,47,18.33944545143172,38,9,0.8085106382978723,47,0.15361697612510955,20,26,1,0.43478260869565216
cumulative,1,model,scientific_F4_M2,spline,F4,47,47,18.513694607317912,37,10,0.7872340425531915,47,0.14550719193282946,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F4_M3,tree,F4,47,47,18.32366548018003,37,10,0.7872340425531915,47,0.1499523008199887,18,28,1,0.391304347826087
cumulative,1,model,scientific_F4_M4,boosted,F4,47,47,17.98528013550863,37,10,0.7872340425531915,47,0.14589584381646303,18,28,1,0.391304347826087
cumulative,1,model,scientific_F4_M5,neural,F4,47,47,18.25098295287883,37,10,0.7872340425531915,47,0.15820990353904724,20,26,1,0.43478260869565216
cumulative,1,model,scientific_F5_M1,linear,F5,47,47,19.36639364043429,38,9,0.8085106382978723,47,0.14257219050431924,16,30,1,0.34782608695652173
cumulative,1,model,scientific_F5_M10,knn,F5,47,47,15.94095744680851,38,9,0.8085106382978723,47,0.1621596258528507,18,28,1,0.391304347826087
cumulative,1,model,scientific_F5_M2,spline,F5,47,47,18.116410297919693,38,9,0.8085106382978723,47,0.17204964978045686,17,29,1,0.3695652173913043
cumulative,1,model,scientific_F5_M3,tree,F5,47,47,18.0387244743223,36,11,0.7659574468085106,47,0.14600974174331371,18,28,1,0.391304347826087
cumulative,1,model,scientific_F5_M4,boosted,F5,47,47,18.451398123988078,37,10,0.7872340425531915,47,0.1509359276886103,19,27,1,0.41304347826086957
