keys_team,poll_points,top25_votes,ballots_seen,best_ballot_rank
Houston,183,27,42,6
Illinois,114,16,42,3
Clemson,114,7,42,2
BYU,102,23,42,15
Missouri,94,15,42,11
Florida State,92,8,42,6
Kentucky,65,8,42,7
Syracuse,64,6,42,6
Maryland,57,6,42,7
SMU,49,6,42,11
UCF,46,3,42,5
Washington,45,10,42,18
Louisville,44,12,42,19
Auburn,42,5,42,16
Kansas,36,2,42,3
NC State,32,3,42,1
TCU,30,6,42,13
Baylor,29,2,42,8
North Carolina,26,3,42,16
Arizona State,26,2,42,6
UCLA,25,5,42,6
Wisconsin,23,5,42,10
Iowa State,23,2,42,5
Arkansas,22,3,42,15
Virginia,21,4,42,16
Army,21,3,42,12
Pittsburgh,17,4,42,18
Navy,17,2,42,16
Toledo,16,2,42,12
App State,16,1,42,10
West Virginia,15,1,42,11
Rice,14,1,42,12
Oklahoma State,12,3,42,19
Northwestern,12,1,42,14
Duke,10,2,42,20
Texas Tech,9,1,42,17
New Mexico,8,2,42,21
Georgia Tech,8,1,42,18
Georgia State,6,2,42,21
Minnesota,6,1,42,20
South Florida,6,1,42,20
Stanford,6,1,42,20
Boston College,5,1,42,21
Louisiana,5,1,42,21
Air Force,2,1,42,24
Arizona,2,1,42,24
Michigan State,1,1,42,25
