poll_objective,keys_team,ballot_model,power_rating_vs_average,ballot_rank,poll_points,top25_vote,first_place_vote,model_id,model_level,model_family,objective,feature_config,fingerprint,checkpoint_sha256,training_end_season,selected_feature_count,calibration_status,calibrator_sha256
margin,Georgia,scientific_f0_m1,18.506113507252216,1,25,True,True,,,,,,,,,,,
margin,Texas,scientific_f0_m1,17.653642985903897,2,24,True,False,,,,,,,,,,,
margin,Oregon,scientific_f0_m1,17.614936216285923,3,23,True,False,,,,,,,,,,,
margin,Alabama,scientific_f0_m1,17.11727774976906,4,22,True,False,,,,,,,,,,,
margin,Ohio State,scientific_f0_m1,16.690581694218498,5,21,True,False,,,,,,,,,,,
margin,Notre Dame,scientific_f0_m1,16.17264825313984,6,20,True,False,,,,,,,,,,,
margin,Texas A&M,scientific_f0_m1,15.249676115701629,7,19,True,False,,,,,,,,,,,
margin,LSU,scientific_f0_m1,15.192537551027474,8,18,True,False,,,,,,,,,,,
margin,USC,scientific_f0_m1,13.682973535926337,9,17,True,False,,,,,,,,,,,
margin,Florida,scientific_f0_m1,13.317563198937574,10,16,True,False,,,,,,,,,,,
margin,Michigan,scientific_f0_m1,13.269179736915095,11,15,True,False,,,,,,,,,,,
margin,Miami,scientific_f0_m1,13.081175427342064,12,14,True,False,,,,,,,,,,,
margin,Tennessee,scientific_f0_m1,13.079332247836444,13,13,True,False,,,,,,,,,,,
margin,Ole Miss,scientific_f0_m1,13.071037940061164,14,12,True,False,,,,,,,,,,,
margin,South Carolina,scientific_f0_m1,12.018121647476885,15,11,True,False,,,,,,,,,,,
margin,Clemson,scientific_f0_m1,12.017200057724079,16,10,True,False,,,,,,,,,,,
margin,Oklahoma,scientific_f0_m1,11.47760925745441,17,9,True,False,,,,,,,,,,,
margin,Florida State,scientific_f0_m1,10.597369682210717,18,8,True,False,,,,,,,,,,,
margin,Auburn,scientific_f0_m1,10.42008501610609,19,7,True,False,,,,,,,,,,,
margin,Missouri,scientific_f0_m1,9.506328776195968,20,6,True,False,,,,,,,,,,,
margin,Mississippi State,scientific_f0_m1,9.329844338533043,21,5,True,False,,,,,,,,,,,
margin,Nebraska,scientific_f0_m1,8.542806689634165,22,4,True,False,,,,,,,,,,,
margin,Kentucky,scientific_f0_m1,8.5059430995218,23,3,True,False,,,,,,,,,,,
margin,Washington,scientific_f0_m1,8.090306121004945,24,2,True,False,,,,,,,,,,,
margin,UCLA,scientific_f0_m1,7.943773350308317,25,1,True,False,,,,,,,,,,,
