id,season,week,season_type,start_date,start_time_t_b_d,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_classification,home_conference,home_points,home_line_scores,home_postgame_win_probability,home_pregame_elo,home_postgame_elo,away_id,away_team,away_classification,away_conference,away_points,away_line_scores,away_postgame_win_probability,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,playoff,cfbd_home_team,cfbd_away_team,cfbd_orientation_reversed
401858423,2026,1,regular,2026-09-03T22:00:00.000Z,False,False,False,False,,6577.0,SHI Stadium,164,Rutgers,fbs,Big Ten,,,,1479.0,,113,Massachusetts,fbs,Mid-American,,,,978.0,,,,,,Rutgers,Massachusetts,False
401858204,2026,1,regular,2026-09-03T23:00:00.000Z,False,False,False,False,,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,,,,1520.0,,2006,Akron,fbs,Mid-American,,,,925.0,,,,,,Wake Forest,Akron,False
401856776,2026,1,regular,2026-09-04T00:00:00.000Z,False,False,False,False,,721.0,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,,,,1563.0,,38,Colorado,fbs,Big 12,,,,1396.0,,,,,,Georgia Tech,Colorado,False
401858424,2026,1,regular,2026-09-04T01:00:00.000Z,False,False,False,False,,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,,,,1563.0,,5,UAB,fbs,American Athletic,,,,1443.0,,,,,,Illinois,UAB,False
401864495,2026,1,regular,2026-09-04T22:30:00.000Z,False,False,False,False,,3912.0,Rynearson Stadium,2199,Eastern Michigan,fbs,Mid-American,,,,1350.0,,23,San José State,fbs,Mountain West,,,,1395.0,,,,,,Eastern Michigan,San José State,False
401856664,2026,1,regular,2026-09-05T00:00:00.000Z,False,False,False,False,,3835.0,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,,,,1706.0,,2638,UTEP,fbs,Mountain West,,,,1256.0,,,,,,Oklahoma,UTEP,False
401858429,2026,1,regular,2026-09-05T00:00:00.000Z,False,False,False,False,,3936.0,Spartan Stadium,127,Michigan State,fbs,Big Ten,,,,1439.0,,2649,Toledo,fbs,Mid-American,,,,1597.0,,,,,,Michigan State,Toledo,False
401858436,2026,1,regular,2026-09-05T01:00:00.000Z,False,False,False,False,,477.0,Los Angeles Memorial Coliseum,30,USC,fbs,Big Ten,,,,1763.0,,278,Fresno State,fbs,Pac-12,,,,1532.0,,,,,,USC,Fresno State,False
401858206,2026,1,regular,2026-09-05T01:00:00.000Z,False,False,False,True,,3940.0,Stanford Stadium,24,Stanford,fbs,ACC,,,,1408.0,,2390,Miami,fbs,ACC,,,,1842.0,,,,,,Stanford,Miami,False
401856637,2026,1,regular,2026-09-05T23:45:00.000Z,False,False,False,False,,3634.0,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,,,,1562.0,,2226,Florida Atlantic,fbs,American Athletic,,,,1285.0,,,,,,Florida,Florida Atlantic,False
401858430,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,3834.0,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,,,,1538.0,,195,Ohio,fbs,Mid-American,,,,1372.0,,,,,,Nebraska,Ohio,False
401856780,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,3842.0,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,,,,1360.0,,324,Coastal Carolina,fbs,Sun Belt,,,,1275.0,,,,,,West Virginia,Coastal Carolina,False
401856634,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,3657.0,Bryant-Denny Stadium,333,Alabama,fbs,SEC,,,,1738.0,,151,East Carolina,fbs,American Athletic,,,,1562.0,,,,,,Alabama,East Carolina,False
401856778,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,4728.0,TDECU Stadium,248,Houston,fbs,Big 12,,,,1508.0,,204,Oregon State,fbs,Pac-12,,,,1266.0,,,,,,Houston,Oregon State,False
401858425,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,3830.0,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,,,,2064.0,,249,North Texas,fbs,American Athletic,,,,1639.0,,,,,,Indiana,North Texas,False
401869960,2026,1,regular,2026-09-05T16:00:00.000Z,False,False,False,False,,3651.0,Bridgeforth Stadium,256,James Madison,fbs,Sun Belt,,,,1770.0,,2335,Liberty,fbs,Conference USA,,,,1703.0,,,,,,James Madison,Liberty,False
401858207,2026,1,regular,2026-09-05T16:30:00.000Z,False,False,False,False,,3752.0,Acrisure Stadium,221,Pittsburgh,fbs,ACC,,,,1576.0,,193,Miami (OH),fbs,Mid-American,,,,1364.0,,,,,,Pittsburgh,Miami (OH),False
401858432,2026,1,regular,2026-09-05T16:30:00.000Z,False,False,False,False,,3861.0,Ohio Stadium,194,Ohio State,fbs,Big Ten,,,,1925.0,,2050,Ball State,fbs,Mid-American,,,,1173.0,,,,,,Ohio State,Ball State,False
401856665,2026,1,regular,2026-09-05T16:45:00.000Z,False,False,False,False,,3994.0,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,,,,1631.0,,2309,Kent State,fbs,Mid-American,,,,1167.0,,,,,,South Carolina,Kent State,False
401858433,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,False,False,,3626.0,Autzen Stadium,2483,Oregon,fbs,Big Ten,,,,1880.0,,68,Boise State,fbs,Pac-12,,,,1562.0,,,,,,Oregon,Boise State,False
401856636,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,True,False,,5348.0,Mercedes-Benz Stadium,2,Auburn,fbs,SEC,,,,1613.0,,239,Baylor,fbs,Big 12,,,,1506.0,,,,Aflac Kickoff,,Auburn,Baylor,False
401856667,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,False,False,,3910.0,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,,,,1784.0,,326,Texas State,fbs,Pac-12,,,,1570.0,,,,,,Texas,Texas State,False
401858434,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,False,False,,3632.0,Beaver Stadium,213,Penn State,fbs,Big Ten,,,,1802.0,,276,Marshall,fbs,Sun Belt,,,,1478.0,,,,,,Penn State,Marshall,False
401858209,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,False,False,,3982.0,Wallace Wade Stadium,150,Duke,fbs,ACC,,,,1581.0,,2655,Tulane,fbs,American Athletic,,,,1555.0,,,,,,Duke,Tulane,False
401856777,2026,1,regular,2026-09-05T19:30:00.000Z,False,False,False,False,,3854.0,Nippert Stadium,2132,Cincinnati,fbs,Big 12,,,,1480.0,,103,Boston College,fbs,ACC,,,,1406.0,,,,,,Cincinnati,Boston College,False
401856772,2026,1,regular,2026-09-05T19:45:00.000Z,False,False,False,False,,3674.0,Chapman Stadium,202,Tulsa,fbs,American Athletic,,,,1240.0,,197,Oklahoma State,fbs,Big 12,,,,1240.0,,,,,,Tulsa,Oklahoma State,False
401858426,2026,1,regular,2026-09-05T20:15:00.000Z,False,False,False,False,,3793.0,Kinnick Stadium,2294,Iowa,fbs,Big Ten,,,,1791.0,,2459,Northern Illinois,fbs,Mountain West,,,,1322.0,,,,,,Iowa,Northern Illinois,False
401860878,2026,1,regular,2026-09-05T22:00:00.000Z,False,False,False,False,,5388.0,Canvas Stadium,36,Colorado State,fbs,Pac-12,,,,1273.0,,2751,Wyoming,fbs,Mountain West,,,,1363.0,,,,,,Colorado State,Wyoming,False
